Time,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Direction
1.57E+12,-1582.816406,-22447.23047,0,0,0,0,-10833.71094,6013.937988,Rest
1.57E+12,-1568.75708,-22405.45508,0,0,0,0,-9737.202148,6008.751953,Rest
1.57E+12,-1583.822144,-22473.06836,0,0,0,0,-10377.46777,6000.303223,Rest
1.57E+12,-1587.554932,-22481.85352,0,0,0,0,-11154.48145,6009.199219,Rest
1.57E+12,-1586.169189,-22454.85156,0,0,0,0,-10997.30371,6012.038086,Rest
1.57E+12,-1562.878662,-22397.76563,0,0,0,0,-9869.569336,6017.715332,Rest
1.57E+12,-1570.366455,-22459.30078,0,0,0,0,-10154.06152,5999.722168,Rest
1.57E+12,-1595.042725,-22491.59766,0,0,0,0,-11122.71973,5985.573242,Rest
1.57E+12,-1581.74353,-22462.36328,0,0,0,0,-11083.53711,5998.89502,Rest
1.57E+12,-1558.676514,-22396.06641,0,0,0,0,-10070.84668,6015.14502,Rest
1.57E+12,-1571.908691,-22440.77148,0,0,0,0,-9941.250977,6001.174805,Rest
1.57E+12,-1582.592896,-22480.69141,0,0,0,0,-11037.60352,5999.185547,Rest
1.57E+12,-1575.730835,-22460.08203,0,0,0,0,-11145.62988,6005.287598,Rest
1.57E+12,-1563.370361,-22407.31055,0,0,0,0,-10286.09375,6001.845703,Rest
1.57E+12,-1564.890259,-22425.61523,0,0,0,0,-9792.432617,5999.632813,Rest
1.57E+12,-1587.063232,-22481.09375,0,0,0,0,-10926.18066,5995.52002,Rest
1.57E+12,-1574.032104,-22460.30664,0,0,0,0,-11170.66406,6009.847656,Rest
1.57E+12,-1564.376221,-22416.25,0,0,0,0,-10528.27441,6016.262207,Rest
1.57E+12,-1570.522949,-22418.79883,0,0,0,0,-9716.996094,6000.168945,Rest
1.57E+12,-1589.700684,-22487.10547,0,0,0,0,-10767.97461,5986.802734,Rest
1.57E+12,-1587.331421,-22483.01563,0,0,0,0,-11184.56641,5991.630859,Rest
1.57E+12,-1577.161377,-22443.6543,0,0,0,0,-10721.25977,6008.260254,Rest
1.57E+12,-1565.605591,-22411.91406,0,0,0,0,-9712.19043,6006.360352,Rest
1.57E+12,-1587.219727,-22481.58398,0,0,0,0,-10561.5791,6000.884277,Rest
1.57E+12,-1586.236206,-22479.5957,0,0,0,0,-11173.54688,6006.427734,Rest
1.57E+12,-1585.900879,-22452.77344,0,0,0,0,-10891.69141,6002.62793,Rest
1.57E+12,-1563.571533,-22404.0918,0,0,0,0,-9777.591797,6009.176758,Rest
1.57E+12,-1573.383911,-22469.11328,0,0,0,0,-10359.11719,5997.129395,Rest
1.57E+12,-1598.417847,-22490.01172,0,0,0,0,-11166.05957,6000.504395,Rest
1.57E+12,-1598.507324,-22469.69336,0,0,0,0,-11025.5791,6000.683105,Rest
1.57E+12,-1554.764893,-22398.88281,0,0,0,0,-9921.983398,6007.098145,Rest
1.57E+12,-1560.755249,-22455.8125,0,0,0,0,-10125.42969,5985.148926,Rest
1.57E+12,-1581.922363,-22490.32422,0,0,0,0,-11119.27734,5976.029297,Rest
1.57E+12,-1580.357666,-22470.45313,0,0,0,0,-11107.31934,5980.901855,Rest
1.57E+12,-1573.763916,-22416.60938,0,0,0,0,-10135.88965,5977.124512,Rest
1.57E+12,-1577.161377,-22454.51758,0,0,0,0,-9942.748047,5959.108887,Rest
1.57E+12,-1580.268311,-22492.13477,0,0,0,0,-11037.33594,5966.976563,Rest
1.57E+12,-1579.53064,-22471.08008,0,0,0,0,-11158.34766,5997.173828,Rest
1.57E+12,-1570.656982,-22415.64648,0,0,0,0,-10342.50977,6007.768555,Rest
1.57E+12,-1568.332397,-22426.71094,0,0,0,0,-9761.744141,5997.844727,Rest
1.57E+12,-1598.283813,-22493.99023,0,0,0,0,-10888.67383,5981.192383,Rest
1.57E+12,-1599.960205,-22481.65234,0,0,0,0,-11170.14941,5995.095215,Rest
1.57E+12,-1588.918457,-22437.06055,0,0,0,0,-10555.67773,6006.114746,Rest
1.57E+12,-1576.334351,-22425.81641,0,0,0,0,-9694.577148,5992.346191,Rest
1.57E+12,-1609.191406,-22500.94141,0,0,0,0,-10727.60742,5983.137207,Rest
1.57E+12,-1607.40332,-22492.42578,0,0,0,0,-11185.05859,6002.11377,Rest
1.57E+12,-1594.864014,-22452.70703,0,0,0,0,-10748.5957,6010.003906,Rest
1.57E+12,-1586.683228,-22422.19727,0,0,0,0,-9693.302734,6001.755859,Rest
1.57E+12,-1610.10791,-22494.34766,0,0,0,0,-10504.62695,5988.121582,Rest
1.57E+12,-1612.164185,-22496.94141,0,0,0,0,-11163.95801,5983.226563,Rest
1.57E+12,-1588.33728,-22453.37695,0,0,0,0,-10924.72754,6015.14502,Rest
1.57E+12,-1566.276123,-22402.25781,0,0,0,0,-9789.661133,6007.120605,Rest
1.57E+12,-1595.556885,-22476.08594,0,0,0,0,-10277.82324,5982.556152,Rest
