Time,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Direction
1563495796695,-12588.7705078125,-15612.89453125,0,0,0,0,-11629.8583984375,-1353.4874267578125,Rest
1563495796695,-12579.7626953125,-15602.4560546875,0,0,0,0,-11392.728515625,-1358.360107421875,Rest
1563495796695,-12518.3623046875,-15525.3203125,0,0,0,0,-10866.009765625,-1475.86328125,Rest
1563495796695,-12536.5341796875,-15543.9833984375,0,0,0,0,-11032.6865234375,-1508.6309814453125,Rest
1563495796696,-12593.6650390625,-15621.5,0,0,0,0,-11599.146484375,-1390.9266357421875,Rest
1563495796696,-12595.7666015625,-15623.9130859375,0,0,0,0,-11501.3134765625,-1354.5604248046875,Rest
1563495796696,-12538.3447265625,-15545.5478515625,0,0,0,0,-10928.9521484375,-1461.2899169921875,Rest
1563495796696,-12516.015625,-15521.765625,0,0,0,0,-10932.953125,-1501.74658203125,Rest
1563495796696,-12576.6328125,-15600.533203125,0,0,0,0,-11515.1708984375,-1404.3153076171875,Rest
1563495796696,-12606.00390625,-15637.0791015625,0,0,0,0,-11587.8369140625,-1357.4884033203125,Rest
1563495796731,-12537.7412109375,-15548.9453125,0,0,0,0,-11001.6171875,-1437.7535400390625,Rest
1563495796732,-12519.255859375,-15518.9501953125,0,0,0,0,-10870.8154296875,-1510.6202392578125,Rest
1563495796732,-12586.78125,-15602.34375,0,0,0,0,-11434.6376953125,-1442.8720703125,Rest
1563495796732,-12614.67578125,-15640.6328125,0,0,0,0,-11643.5146484375,-1354.1357421875,Rest
1563495796732,-12550.146484375,-15565.3515625,0,0,0,0,-11103.5859375,-1421.7274169921875,Rest
1563495796732,-12496.7255859375,-15501.6943359375,0,0,0,0,-10822.0888671875,-1498.6396484375,Rest
1563495796732,-12558.39453125,-15577.734375,0,0,0,0,-11324.1083984375,-1459.0548095703125,Rest
1563495796733,-12621.76171875,-15657.44140625,0,0,0,0,-11691.6611328125,-1377.6497802734375,Rest
1563495796733,-12577.3037109375,-15603.0146484375,0,0,0,0,-11228.8232421875,-1420.6768798828125,Rest
1563495796733,-12527.1240234375,-15536.607421875,0,0,0,0,-10841.7353515625,-1521.5054931640625,Rest
1563495796768,-12527.50390625,-15541.2568359375,0,0,0,0,-11189.349609375,-1451.3433837890625,Rest
1563495796768,-12587.4072265625,-15615.3974609375,0,0,0,0,-11649.2373046875,-1340.4564208984375,Rest
1563495796769,-12563.22265625,-15579.8359375,0,0,0,0,-11295.0732421875,-1354.0909423828125,Rest
1563495796769,-12494.333984375,-15495.2568359375,0,0,0,0,-10806.8447265625,-1455.232666015625,Rest
1563495796769,-12526.140625,-15532.583984375,0,0,0,0,-11085.75,-1472.219970703125,Rest
1563495796769,-12623.884765625,-15648.701171875,0,0,0,0,-11662.3798828125,-1400.0238037109375,Rest
1563495796769,-12580.34375,-15604.892578125,0,0,0,0,-11419.5732421875,-1361.3553466796875,Rest
1563495796769,-12504.4814453125,-15509.7412109375,0,0,0,0,-10856.509765625,-1454.8526611328125,Rest
1563495796770,-12503.69921875,-15512.1103515625,0,0,0,0,-10980.2265625,-1482.0546875,Rest
