Time,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Direction
1565822109110,0,0,-60639.69921875,-60601.03125,-58786.1796875,0,0,0,RestSSVEP
1565822109111,0,0,-60630.578125,-60605.94921875,-58792.171875,0,0,0,RestSSVEP
1565822109111,0,0,-60631.875,-60621.52734375,-58796.84375,0,0,0,RestSSVEP
1565822109111,0,0,-60635.00390625,-60607,-58801.42578125,0,0,0,RestSSVEP
1565822109111,0,0,-60627.44921875,-60595.59765625,-58796.5078125,0,0,0,RestSSVEP
1565822109111,0,0,-60624.0546875,-60610.1484375,-58807.32421875,0,0,0,RestSSVEP
1565822109111,0,0,-60632.2578125,-60632.703125,-58822.6796875,0,0,0,RestSSVEP
1565822109111,0,0,-60644.68359375,-60621.08203125,-58823.171875,0,0,0,RestSSVEP
1565822109111,0,0,-60648.3046875,-60619.203125,-58827.375,0,0,0,RestSSVEP
1565822109111,0,0,-60639.296875,-60609.01171875,-58820.6015625,0,0,0,RestSSVEP
1565822109149,0,0,-60638.0234375,-60614.46484375,-58817.875,0,0,0,RestSSVEP
1565822109150,0,0,-60640.03515625,-60607.01953125,-58809.31640625,0,0,0,RestSSVEP
1565822109150,0,0,-60642.4921875,-60622.66796875,-58820.55859375,0,0,0,RestSSVEP
1565822109150,0,0,-60628.25390625,-60644.1015625,-58828.6484375,0,0,0,RestSSVEP
1565822109150,0,0,-60629.26171875,-60605.12109375,-58809.44921875,0,0,0,RestSSVEP
1565822109151,0,0,-60649.64453125,-60588.0234375,-58803.79296875,0,0,0,RestSSVEP
1565822109151,0,0,-60653.06640625,-60596.203125,-58794.8984375,0,0,0,RestSSVEP
1565822109151,0,0,-60647.3671875,-60604.44921875,-58813.40625,0,0,0,RestSSVEP
1565822109151,0,0,-60648.37109375,-60597.27734375,-58797.109375,0,0,0,RestSSVEP
1565822109151,0,0,-60651.6796875,-60595.375,-58798.1171875,0,0,0,RestSSVEP
1565822109186,0,0,-60654.98828125,-60617.078125,-58816.890625,0,0,0,RestSSVEP
1565822109187,0,0,-60669.47265625,-60615.13671875,-58822.32421875,0,0,0,RestSSVEP
1565822109187,0,0,-60639.296875,-60598.7734375,-58818.5234375,0,0,0,RestSSVEP
1565822109187,0,0,-60630.1328125,-60598.34765625,-58813.98828125,0,0,0,RestSSVEP
1565822109187,0,0,-60642.60546875,-60605.25390625,-58808.15234375,0,0,0,RestSSVEP
1565822109187,0,0,-60649.421875,-60620.69921875,-58828.3828125,0,0,0,RestSSVEP
1565822109187,0,0,-60631.47265625,-60608.2265625,-58824.1328125,0,0,0,RestSSVEP
1565822109187,0,0,-60638.29296875,-60607.9140625,-58813.02734375,0,0,0,RestSSVEP
1565822109187,0,0,-60647.65625,-60611.53515625,-58817.96484375,0,0,0,RestSSVEP
1565822109188,0,0,-60644.125,-60630.9375,-58830.48046875,0,0,0,RestSSVEP
1565822109225,0,0,-60636.75,-60619.0703125,-58827.8671875,0,0,0,RestSSVEP
1565822109225,0,0,-60647.07421875,-60605.27734375,-58816.55859375,0,0,0,RestSSVEP
1565822109225,0,0,-60654.18359375,-60599.01953125,-58818.76953125,0,0,0,RestSSVEP
1565822109226,0,0,-60650.4296875,-60609.546875,-58827.12890625,0,0,0,RestSSVEP
1565822109226,0,0,-60643.05078125,-60624.1640625,-58845.3671875,0,0,0,RestSSVEP
1565822109226,0,0,-60639.85546875,-60617.21484375,-58837.56640625,0,0,0,RestSSVEP
1565822109227,0,0,-60644.23828125,-60602.37109375,-58817.5390625,0,0,0,RestSSVEP
1565822109228,0,0,-60654.98828125,-60637.84375,-58847.84765625,0,0,0,RestSSVEP
1565822109228,0,0,-60661.26953125,-60628.30078125,-58851.55859375,0,0,0,RestSSVEP
1565822109228,0,0,-60649.2890625,-60615.94140625,-58829.54296875,0,0,0,RestSSVEP
1565822109259,0,0,-60657.84765625,-60606.3515625,-58826.7734375,0,0,0,RestSSVEP
1565822109260,0,0,-60661.78125,-60603.2421875,-58815.37109375,0,0,0,RestSSVEP
1565822109260,0,0,-60646.58203125,-60602.55078125,-58818.1875,0,0,0,RestSSVEP
1565822109260,0,0,-60647.90234375,-60607.98046875,-58830.63671875,0,0,0,RestSSVEP
1565822109260,0,0,-60659.1015625,-60613.75,-58833.1640625,0,0,0,RestSSVEP
1565822109260,0,0,-60660.375,-60614.93359375,-58828.9609375,0,0,0,RestSSVEP
1565822109261,0,0,-60658.609375,-60622.30859375,-58833.8359375,0,0,0,RestSSVEP
1565822109261,0,0,-60651.32421875,-60621.59375,-58842.171875,0,0,0,RestSSVEP
1565822109261,0,0,-60651.0546875,-60607.71484375,-58836.25,0,0,0,RestSSVEP
1565822109261,0,0,-60654.16015625,-60631.69921875,-58864.14453125,0,0,0,RestSSVEP
1565822109296,0,0,-60659.19140625,-60620.85546875,-58852.74609375,0,0,0,RestSSVEP
1565822109296,0,0,-60664.82421875,-60622.2890625,-58832.60546875,0,0,0,RestSSVEP
1565822109296,0,0,-60666.36328125,-60628.65625,-58850.59765625,0,0,0,RestSSVEP
1565822109297,0,0,-60668.66796875,-60622.1328125,-58847.58203125,0,0,0,RestSSVEP
1565822109297,0,0,-60678.12109375,-60618.21875,-58847.1796875,0,0,0,RestSSVEP
1565822109297,0,0,-60656.0625,-60614.84375,-58855.13671875,0,0,0,RestSSVEP
1565822109297,0,0,-60662.65625,-60612.36328125,-58852.85546875,0,0,0,RestSSVEP
1565822109297,0,0,-60667.4609375,-60614.93359375,-58838.08203125,0,0,0,RestSSVEP
1565822109298,0,0,-60652.57421875,-60640.70703125,-58864.01171875,0,0,0,RestSSVEP
1565822109298,0,0,-60649.87109375,-60610.8203125,-58854.53125,0,0,0,RestSSVEP
1565822109333,0,0,-60673.65234375,-60612.05078125,-58833.1875,0,0,0,RestSSVEP
1565822109333,0,0,-60666.6796875,-60611.0234375,-58842.3515625,0,0,0,RestSSVEP
1565822109333,0,0,-60654.02734375,-60604.7421875,-58831.84375,0,0,0,RestSSVEP
1565822109334,0,0,-60665.8046875,-60607.4921875,-58837.4765625,0,0,0,RestSSVEP
1565822109334,0,0,-60662.0078125,-60610.3515625,-58848.1171875,0,0,0,RestSSVEP
1565822109334,0,0,-60662.8125,-60619.0234375,-58846.95703125,0,0,0,RestSSVEP
1565822109334,0,0,-60662.65625,-60621.328125,-58839.64453125,0,0,0,RestSSVEP
1565822109335,0,0,-60658.6328125,-60633.30859375,-58866.9609375,0,0,0,RestSSVEP
1565822109335,0,0,-60680.9375,-60634.9375,-58870.9375,0,0,0,RestSSVEP
1565822109335,0,0,-60675.75390625,-60635.8984375,-58869.328125,0,0,0,RestSSVEP
1565822109369,0,0,-60658.69921875,-60615.4921875,-58860.1875,0,0,0,RestSSVEP
1565822109369,0,0,-60660.26171875,-60608.67578125,-58840.8984375,0,0,0,RestSSVEP
1565822109369,0,0,-60656.015625,-60602.1484375,-58836.046875,0,0,0,RestSSVEP
1565822109370,0,0,-60674.96875,-60615.0234375,-58836.91796875,0,0,0,RestSSVEP
1565822109370,0,0,-60674.0078125,-60630.69140625,-58864.078125,0,0,0,RestSSVEP
1565822109370,0,0,-60667.4609375,-60616.05078125,-58857.34765625,0,0,0,RestSSVEP
1565822109370,0,0,-60670.3671875,-60615.4921875,-58856.85546875,0,0,0,RestSSVEP
1565822109370,0,0,-60664.84375,-60633.93359375,-58889.55859375,0,0,0,RestSSVEP
1565822109371,0,0,-60669.671875,-60637.7109375,-58873.8671875,0,0,0,RestSSVEP
1565822109371,0,0,-60669.09375,-60619.1796875,-58841.234375,0,0,0,RestSSVEP
1565822109479,0,0,-60667.21484375,-60611.6484375,-58877.421875,0,0,0,RestSSVEP
1565822109479,0,0,-60672.22265625,-60626.421875,-58900.17578125,0,0,0,RestSSVEP
1565822109479,0,0,-60676.78125,-60622.4453125,-58873.6640625,0,0,0,RestSSVEP
1565822109480,0,0,-60668.04296875,-60626.22265625,-58886.65234375,0,0,0,RestSSVEP
1565822109480,0,0,-60670.3203125,-60628.45703125,-58896.64453125,0,0,0,RestSSVEP
1565822109480,0,0,-60678.5703125,-60625.6640625,-58894.51953125,0,0,0,RestSSVEP
1565822109480,0,0,-60685.56640625,-60627.8984375,-58876.37109375,0,0,0,RestSSVEP
1565822109480,0,0,-60698.7734375,-60649.64453125,-58888.28515625,0,0,0,RestSSVEP
1565822109480,0,0,-60698.3046875,-60645.734375,-58898.765625,0,0,0,RestSSVEP
1565822109480,0,0,-60689.41015625,-60648.19140625,-58904.64453125,0,0,0,RestSSVEP
1565822109514,0,0,-60682.4375,-60647.5234375,-58897.91796875,0,0,0,RestSSVEP
1565822109515,0,0,-60670.9453125,-60608.09375,-58863.8984375,0,0,0,RestSSVEP
1565822109515,0,0,-60677.96484375,-60608.0703125,-58860.1640625,0,0,0,RestSSVEP
1565822109515,0,0,-60682.28125,-60623.359375,-58888.10546875,0,0,0,RestSSVEP
1565822109515,0,0,-60691.64453125,-60619.8515625,-58884.52734375,0,0,0,RestSSVEP
1565822109515,0,0,-60679.015625,-60608.25,-58854.12890625,0,0,0,RestSSVEP
1565822109515,0,0,-60681.140625,-60637.41796875,-58879.27734375,0,0,0,RestSSVEP
1565822109515,0,0,-60657.2890625,-60616.67578125,-58875.58984375,0,0,0,RestSSVEP
1565822109515,0,0,-60655.58984375,-60591.0625,-58851.24609375,0,0,0,RestSSVEP
1565822109515,0,0,-60665.40234375,-60600.875,-58842.796875,0,0,0,RestSSVEP
1565822109551,0,0,-60676.87109375,-60607.19921875,-58866.01953125,0,0,0,RestSSVEP
1565822109551,0,0,-60679.12890625,-60616.05078125,-58878.16015625,0,0,0,RestSSVEP
1565822109551,0,0,-60678.546875,-60621.28125,-58878.3828125,0,0,0,RestSSVEP
1565822109551,0,0,-60671.57421875,-60613.59375,-58875.69921875,0,0,0,RestSSVEP
1565822109552,0,0,-60680.3125,-60617.86328125,-58880.1484375,0,0,0,RestSSVEP
1565822109552,0,0,-60685.23046875,-60631.3828125,-58893.0234375,0,0,0,RestSSVEP
1565822109552,0,0,-60682.390625,-60638,-58893.84765625,0,0,0,RestSSVEP
1565822109552,0,0,-60682.50390625,-60632.546875,-58891.16796875,0,0,0,RestSSVEP
1565822109552,0,0,-60687.0625,-60634.7578125,-58902.23046875,0,0,0,RestSSVEP
1565822109552,0,0,-60678.43359375,-60638.3125,-58920.73828125,0,0,0,RestSSVEP
1565822109588,0,0,-60688.203125,-60649.80078125,-58925.453125,0,0,0,RestSSVEP
1565822109588,0,0,-60690.39453125,-60641.59765625,-58912.3125,0,0,0,RestSSVEP
1565822109588,0,0,-60688.0703125,-60616.0078125,-58895.75,0,0,0,RestSSVEP
1565822109589,0,0,-60687.77734375,-60624.76953125,-58884.26171875,0,0,0,RestSSVEP
1565822109589,0,0,-60689.43359375,-60606.3515625,-58873.46484375,0,0,0,RestSSVEP
1565822109589,0,0,-60677.921875,-60606.21484375,-58853.05859375,0,0,0,RestSSVEP
1565822109589,0,0,-60689.7890625,-60616.1640625,-58850.1953125,0,0,0,RestSSVEP
1565822109589,0,0,-60688.203125,-60635.20703125,-58904.265625,0,0,0,RestSSVEP
1565822109590,0,0,-60684.55859375,-60645.64453125,-58929.1875,0,0,0,RestSSVEP
1565822109590,0,0,-60700.20703125,-60639.18359375,-58914.97265625,0,0,0,RestSSVEP
1565822109626,0,0,-60703,-60626.0859375,-58904.734375,0,0,0,RestSSVEP
1565822109627,0,0,-60696.47265625,-60620.5,-58893.8046875,0,0,0,RestSSVEP
1565822109627,0,0,-60688.40234375,-60637.28515625,-58902.296875,0,0,0,RestSSVEP
1565822109627,0,0,-60686.2578125,-60645.5546875,-58911.328125,0,0,0,RestSSVEP
1565822109627,0,0,-60685.23046875,-60619.08984375,-58904.6015625,0,0,0,RestSSVEP
1565822109628,0,0,-60686.48046875,-60626.19921875,-58906.92578125,0,0,0,RestSSVEP
1565822109628,0,0,-60703.9375,-60647.30078125,-58931.22265625,0,0,0,RestSSVEP
1565822109628,0,0,-60706.375,-60642.60546875,-58906.0546875,0,0,0,RestSSVEP
1565822109628,0,0,-60696.98828125,-60635.33984375,-58903.4609375,0,0,0,RestSSVEP
1565822109628,0,0,-60692.73828125,-60626.95703125,-58899.97265625,0,0,0,RestSSVEP
1565822109663,0,0,-60705.12109375,-60633.0390625,-58899.796875,0,0,0,RestSSVEP
1565822109663,0,0,-60710.84375,-60630.53515625,-58900.578125,0,0,0,RestSSVEP
1565822109663,0,0,-60692.31640625,-60622.109375,-58889.84765625,0,0,0,RestSSVEP
1565822109663,0,0,-60685.38671875,-60619.71875,-58887.8828125,0,0,0,RestSSVEP
1565822109663,0,0,-60691.7109375,-60632.58984375,-58902.4765625,0,0,0,RestSSVEP
1565822109664,0,0,-60686.75,-60634.4921875,-58910.8359375,0,0,0,RestSSVEP
1565822109664,0,0,-60691.2890625,-60652.0390625,-58923.7109375,0,0,0,RestSSVEP
1565822109664,0,0,-60697.703125,-60623.8515625,-58906.8359375,0,0,0,RestSSVEP
1565822109664,0,0,-60689.25390625,-60616.51953125,-58895.97265625,0,0,0,RestSSVEP
1565822109664,0,0,-60690.484375,-60616.07421875,-58894.4296875,0,0,0,RestSSVEP
1565822109696,0,0,-60693.65625,-60615.11328125,-58888.640625,0,0,0,RestSSVEP
1565822109696,0,0,-60697.41015625,-60619.984375,-58893.3125,0,0,0,RestSSVEP
1565822109696,0,0,-60694.6640625,-60634.58203125,-58910.6796875,0,0,0,RestSSVEP
1565822109697,0,0,-60684.73828125,-60633.328125,-58909.5625,0,0,0,RestSSVEP
1565822109697,0,0,-60692.29296875,-60632.1015625,-58905.0234375,0,0,0,RestSSVEP
1565822109697,0,0,-60693.38671875,-60622.04296875,-58887.30078125,0,0,0,RestSSVEP
1565822109697,0,0,-60710.64453125,-60628.12109375,-58898.05078125,0,0,0,RestSSVEP
1565822109697,0,0,-60678.90625,-60602.4609375,-58895.34765625,0,0,0,RestSSVEP
1565822109697,0,0,-60679.73046875,-60618.6875,-58911.59765625,0,0,0,RestSSVEP
1565822109697,0,0,-60689.20703125,-60629.86328125,-58919.375,0,0,0,RestSSVEP
1565822109728,0,0,-60692.984375,-60604.7421875,-58896.1953125,0,0,0,RestSSVEP
1565822109729,0,0,-60694.05859375,-60607.55859375,-58896.46484375,0,0,0,RestSSVEP
1565822109729,0,0,-60689.20703125,-60624.56640625,-58911.26171875,0,0,0,RestSSVEP
1565822109729,0,0,-60695.64453125,-60639.7421875,-58931.578125,0,0,0,RestSSVEP
1565822109729,0,0,-60698.3046875,-60616.56640625,-58893.828125,0,0,0,RestSSVEP
1565822109729,0,0,-60693.45703125,-60613.32421875,-58882.5859375,0,0,0,RestSSVEP
1565822109729,0,0,-60702.10546875,-60625.37109375,-58905.40625,0,0,0,RestSSVEP
1565822109729,0,0,-60726.19921875,-60630.578125,-58904.734375,0,0,0,RestSSVEP
1565822109730,0,0,-60711.828125,-60626.578125,-58911.08203125,0,0,0,RestSSVEP
1565822109730,0,0,-60695.7578125,-60617.48046875,-58911.08203125,0,0,0,RestSSVEP
1565822109763,0,0,-60684.4921875,-60621.97265625,-58901.515625,0,0,0,RestSSVEP
1565822109764,0,0,-60687.890625,-60656.28515625,-58922.16796875,0,0,0,RestSSVEP
1565822109764,0,0,-60690.05859375,-60622.15234375,-58929.30078125,0,0,0,RestSSVEP
1565822109764,0,0,-60703.984375,-60629.53125,-58930.39453125,0,0,0,RestSSVEP
1565822109764,0,0,-60713.97265625,-60606.0390625,-58873.578125,0,0,0,RestSSVEP
1565822109764,0,0,-60702.55078125,-60596.42578125,-58849.30078125,0,0,0,RestSSVEP
1565822109764,0,0,-60694.171875,-60612.3203125,-58897.3125,0,0,0,RestSSVEP
1565822109764,0,0,-60692.203125,-60616.140625,-58915.84375,0,0,0,RestSSVEP
1565822109765,0,0,-60691.66796875,-60622.35546875,-58920.91796875,0,0,0,RestSSVEP
1565822109765,0,0,-60698.23828125,-60621.08203125,-58919.734375,0,0,0,RestSSVEP
1565822109835,0,0,-60688.60546875,-60618.30859375,-58915.26171875,0,0,0,RestSSVEP
1565822109836,0,0,-60687.734375,-60622.7578125,-58926.640625,0,0,0,RestSSVEP
1565822109836,0,0,-60698.10546875,-60619.91796875,-58920.46875,0,0,0,RestSSVEP
1565822109836,0,0,-60691.82421875,-60613.97265625,-58909.83203125,0,0,0,RestSSVEP
1565822109836,0,0,-60699.2890625,-60629.12890625,-58912.06640625,0,0,0,RestSSVEP
1565822109837,0,0,-60712.296875,-60637.64453125,-58934.84375,0,0,0,RestSSVEP
1565822109837,0,0,-60708.09765625,-60612.25,-58921.58984375,0,0,0,RestSSVEP
1565822109837,0,0,-60703.109375,-60614.3984375,-58917.765625,0,0,0,RestSSVEP
1565822109837,0,0,-60700.96484375,-60614.10546875,-58915.10546875,0,0,0,RestSSVEP
1565822109837,0,0,-60697.58984375,-60614.015625,-58914.546875,0,0,0,RestSSVEP
1565822109872,0,0,-60706.5078125,-60610.796875,-58917.7890625,0,0,0,RestSSVEP
1565822109872,0,0,-60709.01171875,-60625.4609375,-58922.7265625,0,0,0,RestSSVEP
1565822109873,0,0,-60706.21875,-60643.765625,-58928.09375,0,0,0,RestSSVEP
1565822109873,0,0,-60712.7890625,-60627.80859375,-58935.9140625,0,0,0,RestSSVEP
1565822109873,0,0,-60703.1328125,-60597.296875,-58910.1875,0,0,0,RestSSVEP
1565822109873,0,0,-60690.01171875,-60596.8515625,-58898.65625,0,0,0,RestSSVEP
1565822109873,0,0,-60695.64453125,-60610.23828125,-58907.484375,0,0,0,RestSSVEP
1565822109874,0,0,-60681.36328125,-60600.5625,-58917.8984375,0,0,0,RestSSVEP
1565822109874,0,0,-60693.1640625,-60603.7578125,-58916.26953125,0,0,0,RestSSVEP
1565822109874,0,0,-60703.46875,-60615.60546875,-58912.625,0,0,0,RestSSVEP
1565822109910,0,0,-60692.62890625,-60616.02734375,-58916.515625,0,0,0,RestSSVEP
1565822109910,0,0,-60694.26171875,-60623.40625,-58935.53515625,0,0,0,RestSSVEP
1565822109910,0,0,-60693.27734375,-60618.9140625,-58932.5859375,0,0,0,RestSSVEP
1565822109910,0,0,-60699.82421875,-60592.42578125,-58885.3125,0,0,0,RestSSVEP
1565822109911,0,0,-60701.7265625,-60602.171875,-58893.58203125,0,0,0,RestSSVEP
1565822109911,0,0,-60686.48046875,-60603.87109375,-58906.3671875,0,0,0,RestSSVEP
1565822109911,0,0,-60688.62890625,-60604.5390625,-58909.47265625,0,0,0,RestSSVEP
1565822109911,0,0,-60696.0703125,-60612.05078125,-58913.54296875,0,0,0,RestSSVEP
1565822109911,0,0,-60699.89453125,-60625.26171875,-58938.62109375,0,0,0,RestSSVEP
1565822109911,0,0,-60703.53515625,-60614.44140625,-58929.546875,0,0,0,RestSSVEP
1565822109943,0,0,-60709.66015625,-60628.859375,-58936.1171875,0,0,0,RestSSVEP
1565822109943,0,0,-60714.12890625,-60623.1796875,-58933.92578125,0,0,0,RestSSVEP
1565822109943,0,0,-60705.3671875,-60610.171875,-58921.25390625,0,0,0,RestSSVEP
1565822109943,0,0,-60700.65234375,-60613.2109375,-58926.9296875,0,0,0,RestSSVEP
1565822109943,0,0,-60697.1875,-60623.11328125,-58934.375,0,0,0,RestSSVEP
1565822109944,0,0,-60702.39453125,-60641.59765625,-58940.40625,0,0,0,RestSSVEP
1565822109944,0,0,-60701.94921875,-60616.96875,-58924.203125,0,0,0,RestSSVEP
1565822109944,0,0,-60709.1015625,-60608.71875,-58916.4453125,0,0,0,RestSSVEP
1565822109944,0,0,-60722.33203125,-60631.65234375,-58939.46875,0,0,0,RestSSVEP
1565822109944,0,0,-60710.265625,-60620.58984375,-58929.1640625,0,0,0,RestSSVEP
1565822109980,0,0,-60697.30078125,-60623.60546875,-58941.75,0,0,0,RestSSVEP
