Time,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Direction
1563320295283,-20382.041015625,-26858.615234375,0,0,0,0,-1764.3348388671875,-809.0213623046875,Left
1563320295283,-20377.32421875,-26914.5625,0,0,0,0,-2516.001708984375,-793.1292724609375,Left
1563320295283,-20354.8828125,-26986.958984375,0,0,0,0,-3688.9541015625,-760.2051391601562,Left
1563320295284,-20364.830078125,-26885.7734375,0,0,0,0,-2655.0966796875,-798.8736572265625,Left
1563320295284,-20372.98828125,-26850.880859375,0,0,0,0,-1731.63427734375,-816.6656494140625,Left
1563320295284,-20337.44921875,-26876.048828125,0,0,0,0,-2314.791259765625,-799.5442504882812,Left
1563320295284,-20316.728515625,-26954.146484375,0,0,0,0,-3558.084716796875,-730.2091064453125,Left
1563320295284,-20333.203125,-26876.541015625,0,0,0,0,-2939.388427734375,-755.623046875,Left
1563320295284,-20350.79296875,-26819.9921875,0,0,0,0,-1719.9443359375,-783.0709838867188,Left
1563320295285,-20351.083984375,-26860.470703125,0,0,0,0,-2152.71875,-774.5549926757812,Left
1563320295320,-20346.12109375,-26956.626953125,0,0,0,0,-3383.6962890625,-756.8076782226562,Left
1563320295321,-20350.078125,-26913.7578125,0,0,0,0,-3250.323486328125,-772.5209350585938,Left
1563320295321,-20388.09765625,-26838.54296875,0,0,0,0,-1801.3046875,-811.6812133789062,Left
1563320295321,-20373.099609375,-26864.828125,0,0,0,0,-2024.6209716796875,-795.7667846679688,Left
1563320295321,-20335.66015625,-26928.8671875,0,0,0,0,-3146.208984375,-740.625,Left
1563320295321,-20329.6484375,-26925.513671875,0,0,0,0,-3475.226806640625,-745.877685546875,Left
1563320295321,-20371.244140625,-26834.564453125,0,0,0,0,-1937.4267578125,-798.7619018554688,Left
1563320295322,-20376.318359375,-26861.140625,0,0,0,0,-1927.4132080078125,-801.2429809570312,Left
1563320295322,-20334.69921875,-26912.9296875,0,0,0,0,-2918.62353515625,-781.3945922851562,Left
1563320295322,-20330.720703125,-26941.830078125,0,0,0,0,-3638.551025390625,-751.2421264648438,Left
1563320295357,-20355.375,-26835.81640625,0,0,0,0,-2138.43603515625,-795.051513671875,Left
1563320295357,-20371.333984375,-26856.826171875,0,0,0,0,-1828.3055419921875,-813.89404296875,Left
1563320295358,-20359.01953125,-26909.5546875,0,0,0,0,-2689.719482421875,-808.5966796875,Left
1563320295358,-20344.466796875,-26972.251953125,0,0,0,0,-3713.33984375,-750.9962158203125,Left
