Time,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Direction
1.57E+12,-6180.86084,-4491.627441,0,0,0,0,-3218.964111,25371.55273,Rest
1.57E+12,-6388.84375,-4695.050781,0,0,0,0,-3438.92749,25115.93945,Rest
1.57E+12,-6375.186523,-4689.641602,0,0,0,0,-3422.36499,25131.16016,Rest
1.57E+12,-6223.597168,-4544.556641,0,0,0,0,-3261.275879,25326.67188,Rest
1.57E+12,-6156.631348,-4477.702637,0,0,0,0,-3203.608398,25392.11719,Rest
1.57E+12,-6370.939941,-4683.092773,0,0,0,0,-3429.584473,25129.08203,Rest
1.57E+12,-6392.486816,-4708.283203,0,0,0,0,-3444.381348,25104.18164,Rest
1.57E+12,-6255.627441,-4575.424316,0,0,0,0,-3293.462402,25283.86719,Rest
1.57E+12,-6132.401855,-4453.518066,0,0,0,0,-3170.281982,25420.39258,Rest
1.57E+12,-6340.898926,-4651.554199,0,0,0,0,-3391.206543,25161.82813,Rest
1.57E+12,-6401.807617,-4712.216797,0,0,0,0,-3444.537842,25096.4043,Rest
1.57E+12,-6287.076172,-4599.184082,0,0,0,0,-3314.897705,25252.70898,Rest
1.57E+12,-6130.814941,-4445.649902,0,0,0,0,-3157.116699,25435.41211,Rest
1.57E+12,-6286.562012,-4593.037598,0,0,0,0,-3333.807373,25226.24414,Rest
1.57E+12,-6394.92334,-4702.672852,0,0,0,0,-3443.956543,25092.3125,Rest
1.57E+12,-6299.54834,-4611.477539,0,0,0,0,-3337.361084,25219.5625,Rest
1.57E+12,-6124.37793,-4440.88916,0,0,0,0,-3154.322754,25434.71875,Rest
1.57E+12,-6233.320313,-4541.002441,0,0,0,0,-3280.05127,25284.42578,Rest
1.57E+12,-6390.721191,-4695.475586,0,0,0,0,-3436.178223,25098.66211,Rest
1.57E+12,-6319.709473,-4627.950684,0,0,0,0,-3354.125,25192.51563,Rest
1.57E+12,-6151.780762,-4465.587891,0,0,0,0,-3175.89209,25406.86914,Rest
1.57E+12,-6195.948242,-4503.29541,0,0,0,0,-3235.526611,25335.32227,Rest
1.57E+12,-6391.615234,-4696.458984,0,0,0,0,-3440.268555,25100.4043,Rest
1.57E+12,-6352.29834,-4664.809082,0,0,0,0,-3396.503906,25150.36133,Rest
1.57E+12,-6189.666992,-4508.704102,0,0,0,0,-3222.026123,25363.30664,Rest
1.57E+12,-6168.723633,-4483.938477,0,0,0,0,-3212.303223,25369.90039,Rest
1.57E+12,-6376.729004,-4685.752441,0,0,0,0,-3429.62915,25115.49219,Rest
1.57E+12,-6371.454102,-4685.708008,0,0,0,0,-3417.156982,25128.9707,Rest
1.57E+12,-6224.356934,-4543.707031,0,0,0,0,-3257.699463,25322.35742,Rest
1.57E+12,-6145.902344,-4464.246582,0,0,0,0,-3187.112793,25403.89648,Rest
1.57E+12,-6352.052734,-4662.05957,0,0,0,0,-3408.618652,25144.66016,Rest
1.57E+12,-6380.21582,-4694.938965,0,0,0,0,-3434.27832,25106.73047,Rest
1.57E+12,-6247.848633,-4566.707031,0,0,0,0,-3288.746094,25282.01172,Rest
1.57E+12,-6122.231934,-4443.124512,0,0,0,0,-3165.141113,25419.7207,Rest
1.57E+12,-6315.641602,-4628.129883,0,0,0,0,-3373.794434,25176.26563,Rest
1.57E+12,-6386.80957,-4701.935059,0,0,0,0,-3440.782715,25094.92773,Rest
1.57E+12,-6281.376465,-4599.229004,0,0,0,0,-3320.753906,25241.8457,Rest
