Time,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Direction
1565908315238,7035.0771484375,-4093.699462890625,0,0,0,0,-2001.91162109375,15210.5400390625,Rest
1565908315239,7013.3291015625,-4124.388671875,0,0,0,0,-2074.84521484375,15188.61328125,Rest
1565908315239,6980.8740234375,-4192.494140625,0,0,0,0,-2191.633056640625,15175.1572265625,Rest
1565908315239,7001.8623046875,-4173.65185546875,0,0,0,0,-2150.282470703125,15183.673828125,Rest
1565908315240,7035.255859375,-4099.5556640625,0,0,0,0,-2012.5286865234375,15205.064453125,Rest
1565908315240,7016.48046875,-4117.41455078125,0,0,0,0,-2065.032958984375,15182.064453125,Rest
1565908315240,6987.02099609375,-4177.04931640625,0,0,0,0,-2178.5126953125,15166.91015625,Rest
1565908315240,6994.12890625,-4181.9443359375,0,0,0,0,-2182.044189453125,15167.46875,Rest
1565908315240,7026.15869140625,-4108.04931640625,0,0,0,0,-2032.823974609375,15186.087890625,Rest
1565908315240,7006.75732421875,-4118.353515625,0,0,0,0,-2061.68017578125,15169.2119140625,Rest
1565908315270,6974.21337890625,-4178.83740234375,0,0,0,0,-2170.644775390625,15152.1572265625,Rest
1565908315271,6976.470703125,-4202.10546875,0,0,0,0,-2208.128662109375,15155.130859375,Rest
1565908315271,7024.080078125,-4119.44873046875,0,0,0,0,-2051.353515625,15180.96875,Rest
1565908315271,7024.16943359375,-4105.5009765625,0,0,0,0,-2042.1671142578125,15178.7119140625,Rest
1565908315272,6993.03369140625,-4158.51953125,0,0,0,0,-2144.761474609375,15160.271484375,Rest
1565908315273,6975.97900390625,-4204.18408203125,0,0,0,0,-2214.655517578125,15160.025390625,Rest
1565908315273,7015.51953125,-4132.47998046875,0,0,0,0,-2071.24658203125,15184.43359375,Rest
1565908315273,7018.55908203125,-4104.517578125,0,0,0,0,-2025.5596923828125,15186.5791015625,Rest
1565908315273,6991.111328125,-4150.0927734375,0,0,0,0,-2120.085205078125,15164.9208984375,Rest
1565908315274,6970.3017578125,-4205.279296875,0,0,0,0,-2215.549560546875,15158.4833984375,Rest
1565908315307,7009.77490234375,-4148.99755859375,0,0,0,0,-2103.83544921875,15176.2529296875,Rest
1565908315307,7032.283203125,-4100.29345703125,0,0,0,0,-2021.5140380859375,15188.1884765625,Rest
1565908315308,7006.02001953125,-4137.66552734375,0,0,0,0,-2106.093017578125,15165.1220703125,Rest
1565908315308,6976.60498046875,-4200.09375,0,0,0,0,-2214.99072265625,15158.1474609375,Rest
1565908315308,7006.466796875,-4161.44775390625,0,0,0,0,-2135.84326171875,15174.7998046875,Rest
1565908315308,7027.81298828125,-4099.5107421875,0,0,0,0,-2016.88720703125,15192.3017578125,Rest
1565908315308,7004.79052734375,-4126.8916015625,0,0,0,0,-2081.751953125,15172.3408203125,Rest
1565908315308,6974.25830078125,-4187.912109375,0,0,0,0,-2191.454345703125,15164.9208984375,Rest
1565908315309,6990.708984375,-4176.2666015625,0,0,0,0,-2163.782958984375,15169.2568359375,Rest
1565908315309,7023.3427734375,-4106.73046875,0,0,0,0,-2024.5762939453125,15189.865234375,Rest
1565908315339,7002.37646484375,-4123.494140625,0,0,0,0,-2068.922119140625,15173.3251953125,Rest
1565908315340,6973.9677734375,-4183.7099609375,0,0,0,0,-2178.3115234375,15162.931640625,Rest
1565908315340,6979.734375,-4195.2880859375,0,0,0,0,-2187.654541015625,15168.8095703125,Rest
1565908315342,7015.1396484375,-4119.560546875,0,0,0,0,-2035.6627197265625,15188.501953125,Rest
1565908315342,7008.880859375,-4115.3359375,0,0,0,0,-2047.978515625,15182.17578125,Rest
1565908315342,6983.82470703125,-4165.2919921875,0,0,0,0,-2150.774169921875,15167.982421875,Rest
1565908315343,6983.265625,-4192.1142578125,0,0,0,0,-2198.60693359375,15169.3017578125,Rest
1565908315343,7021.3310546875,-4117.83935546875,0,0,0,0,-2052.49365234375,15188.814453125,Rest
1565908315344,7015.4970703125,-4109.03271484375,0,0,0,0,-2043.418701171875,15178.599609375,Rest
