Time,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Direction
1566254509510,-1335.494384765625,-14230.0810546875,-55335.98828125,-24639.4453125,-51491.95703125,0,-4220.38916015625,4925.5869140625,RestSSVEP
1566254509511,-1344.882080078125,-14243.4248046875,-55298.796875,-24646.015625,-51494.52734375,0,-4229.2626953125,4916.51171875,RestSSVEP
1566254509511,-1335.82958984375,-14242.0390625,-55351.3203125,-24644.5859375,-51498.9765625,0,-4218.37744140625,4925.7431640625,RestSSVEP
1566254509511,-1324.497314453125,-14225.7451171875,-55395.19921875,-24635.98046875,-51493.9921875,0,-4207.64892578125,4935.66748046875,RestSSVEP
1566254509511,-1332.5216064453125,-14225.8564453125,-55350.046875,-24635.578125,-51489.0078125,0,-4216.142578125,4927.978515625,RestSSVEP
1566254509511,-1346.267822265625,-14243.291015625,-55305.0078125,-24647.3125,-51495.37890625,0,-4230.76025390625,4913.87451171875,RestSSVEP
1566254509511,-1342.691650390625,-14251.29296875,-55346.91796875,-24653.1015625,-51504.4296875,0,-4229.39697265625,4914.00830078125,RestSSVEP
1566254509511,-1326.2630615234375,-14234.171875,-55401.5,-24641.544921875,-51499.66796875,0,-4216.25390625,4927.46435546875,RestSSVEP
1566254509511,-1334.2203369140625,-14235.0205078125,-55365.46875,-24641.322265625,-51499.08984375,0,-4228.54736328125,4917.09326171875,RestSSVEP
1566254509512,-1351.02880859375,-14253.818359375,-55302.03515625,-24651.626953125,-51502.75390625,0,-4247.099609375,4899.9716796875,RestSSVEP
1566254509547,-1348.8607177734375,-14261.0830078125,-55322.28515625,-24655.0234375,-51509.4609375,0,-4246.697265625,4899.81494140625,RestSSVEP
1566254509547,-1329.3251953125,-14240.966796875,-55383.484375,-24643.556640625,-51506.3984375,0,-4229.19580078125,4916.84716796875,RestSSVEP
1566254509547,-1329.1241455078125,-14230.2822265625,-55366.765625,-24635.80078125,-51499.15625,0,-4228.81591796875,4918.41162109375,RestSSVEP
1566254509547,-1346.5361328125,-14246.7998046875,-55298.125,-24642.484375,-51497.45703125,0,-4244.95361328125,4904.978515625,RestSSVEP
1566254509547,-1348.4583740234375,-14257.4169921875,-55308.203125,-24649.927734375,-51503.15625,0,-4244.484375,4904.53125,RestSSVEP
1566254509547,-1327.8052978515625,-14237.1220703125,-55369.0234375,-24639.421875,-51499.22265625,0,-4222.98193359375,4925.4970703125,RestSSVEP
1566254509548,-1327.492431640625,-14228.404296875,-55367.99609375,-24637.6796875,-51498.10546875,0,-4222.37841796875,4926.1455078125,RestSSVEP
1566254509549,-1338.5565185546875,-14236.451171875,-55303.64453125,-24641.724609375,-51492.71875,0,-4232.01220703125,4918.07666015625,RestSSVEP
1566254509550,-1344.7032470703125,-14250.1533203125,-55296.8046875,-24649.48046875,-51498.3515625,0,-4235.58837890625,4916.1318359375,RestSSVEP
1566254509550,-1332.63330078125,-14241.5029296875,-55365.42578125,-24647.357421875,-51500.67578125,0,-4220.76904296875,4930.43701171875,RestSSVEP
1566254509582,-1322.2620849609375,-14225.1865234375,-55385.4765625,-24637.298828125,-51493.6328125,0,-4210.82275390625,4939.2880859375,RestSSVEP
1566254509583,-1336.43310546875,-14232.6513671875,-55326.69140625,-24640.115234375,-51490.34765625,0,-4221.5068359375,4929.45361328125,RestSSVEP
1566254509583,-1349.3970947265625,-14249.392578125,-55296.625,-24647.625,-51494.03515625,0,-4230.20166015625,4921.138671875,RestSSVEP
1566254509583,-1335.2708740234375,-14240.2958984375,-55350.49609375,-24637.052734375,-51490.28125,0,-4214.48828125,4935.62255859375,RestSSVEP
1566254509583,-1319.579833984375,-14217.8994140625,-55385.4765625,-24624.669921875,-51483.26171875,0,-4202.21728515625,4945.3681640625,RestSSVEP
1566254509584,-1331.091064453125,-14221.609375,-55332.8125,-24630.146484375,-51485.140625,0,-4217.4833984375,4929.85595703125,RestSSVEP
1566254509584,-1346.290283203125,-14241.2119140625,-55295.75390625,-24644.384765625,-51494.640625,0,-4234.515625,4913.44970703125,RestSSVEP
1566254509584,-1336.7684326171875,-14240.7431640625,-55342.4921875,-24641.634765625,-51498.6171875,0,-4223.7197265625,4921.83154296875,RestSSVEP
1566254509584,-1317.501220703125,-14218.279296875,-55387.91015625,-24628.08984375,-51491.19921875,0,-4205.279296875,4939.310546875,RestSSVEP
1566254509584,-1326.6207275390625,-14218.97265625,-55347.296875,-24628.89453125,-51489.23046875,0,-4215.13671875,4929.341796875,RestSSVEP
1566254509656,-1343.1610107421875,-14239.5361328125,-55296,-24638.23828125,-51493.07421875,0,-4231.36376953125,4913.986328125,RestSSVEP
1566254509656,-1343.585693359375,-14251.13671875,-55336.546875,-24641.92578125,-51498.796875,0,-4231.654296875,4913.65087890625,RestSSVEP
1566254509656,-1324.6536865234375,-14231.3330078125,-55392.1796875,-24627.93359375,-51489.5,0,-4215.3154296875,4930.5712890625,RestSSVEP
1566254509656,-1330.688720703125,-14230.595703125,-55362.18359375,-24629.6328125,-51487.33203125,0,-4225.5078125,4921.45166015625,RestSSVEP
1566254509656,-1344.7032470703125,-14244.6767578125,-55297.609375,-24639.310546875,-51486.8828125,0,-4240.8408203125,4906.990234375,RestSSVEP
1566254509657,-1343.3173828125,-14252.74609375,-55317.37109375,-24642.908203125,-51491.69140625,0,-4240.41650390625,4906.87841796875,RestSSVEP
1566254509657,-1322.7314453125,-14232.025390625,-55383.15234375,-24633.990234375,-51490.39453125,0,-4221.931640625,4925.4970703125,RestSSVEP
1566254509657,-1322.44091796875,-14224.515625,-55370.27734375,-24635.107421875,-51492.0703125,0,-4224.859375,4923.08349609375,RestSSVEP
1566254509657,-1339.472900390625,-14239.87109375,-55309.45703125,-24646.619140625,-51495.01953125,0,-4240.662109375,4909.7841796875,RestSSVEP
1566254509657,-1346.8936767578125,-14254.8017578125,-55318.3515625,-24654.21875,-51500.51953125,0,-4244.93115234375,4908.1298828125,RestSSVEP
1566254509691,-1329.34765625,-14241.16796875,-55387.734375,-24646.642578125,-51497.72265625,0,-4228.43603515625,4926.23486328125,RestSSVEP
1566254509691,-1324.1173095703125,-14226.37109375,-55397.76953125,-24641.814453125,-51493.6328125,0,-4223.1162109375,4933.40966796875,RestSSVEP
1566254509691,-1340.478759765625,-14237.9931640625,-55335.31640625,-24648.51953125,-51493.96875,0,-4235.18603515625,4923.3740234375,RestSSVEP
1566254509691,-1348.9500732421875,-14253.6171875,-55325.34765625,-24658.533203125,-51501.859375,0,-4238.82958984375,4918.23291015625,RestSSVEP
1566254509692,-1339.1376953125,-14247.962890625,-55392.91796875,-24659.248046875,-51510.10546875,0,-4225.4853515625,4931.04052734375,RestSSVEP
1566254509692,-1329.7498779296875,-14230.1708984375,-55412.25390625,-24646.73046875,-51505.68359375,0,-4215.1142578125,4941.00927734375,RestSSVEP
1566254509692,-1344.278564453125,-14238.91015625,-55344.4609375,-24645.859375,-51499.17578125,0,-4229.15087890625,4928.20166015625,RestSSVEP
1566254509692,-1354.2921142578125,-14258.5126953125,-55315.40234375,-24652.765625,-51502.08203125,0,-4240.75146484375,4917.7412109375,RestSSVEP
1566254509692,-1341.7081298828125,-14255.0703125,-55363.83984375,-24647.53515625,-51502.8671875,0,-4231.1181640625,4926.771484375,RestSSVEP
1566254509692,-1329.8616943359375,-14236.2724609375,-55392.9609375,-24635.421875,-51497.0078125,0,-4220.36669921875,4936.181640625,RestSSVEP
1566254509727,-1340.5682373046875,-14239.22265625,-55339.49609375,-24638.23828125,-51495.30859375,0,-4230.60400390625,4927.08447265625,RestSSVEP
1566254509727,-1352.2581787109375,-14255.5400390625,-55297.05078125,-24647.693359375,-51498.73046875,0,-4240.1259765625,4916.9140625,RestSSVEP
1566254509727,-1343.3621826171875,-14253.5283203125,-55345.28515625,-24646.5078125,-51500.921875,0,-4228.48046875,4927.08447265625,RestSSVEP
1566254509728,-1327.2242431640625,-14230.1708984375,-55396.58203125,-24635.935546875,-51495.84765625,0,-4211.4931640625,4942.1494140625,RestSSVEP
1566254509728,-1334.689697265625,-14231.109375,-55358.05078125,-24636.740234375,-51493.8359375,0,-4222.1103515625,4931.21923828125,RestSSVEP
1566254509728,-1349.9112548828125,-14249.884765625,-55305.5,-24645.681640625,-51494.015625,0,-4239.03076171875,4915.55078125,RestSSVEP
1566254509728,-1348.43603515625,-14260.7255859375,-55338.0234375,-24649.681640625,-51498.796875,0,-4241.4892578125,4912.46630859375,RestSSVEP
1566254509728,-1328.54296875,-14242.84375,-55396.80859375,-24635.17578125,-51491.17578125,0,-4227.74267578125,4925.85498046875,RestSSVEP
1566254509728,-1331.4039306640625,-14238.41796875,-55370.4765625,-24627.1953125,-51483.12890625,0,-4233.4423828125,4922.25634765625,RestSSVEP
1566254509728,-1355.119140625,-14260.9267578125,-55304.80859375,-24638.751953125,-51488.4921875,0,-4257.470703125,4901.9384765625,RestSSVEP
1566254509762,-1357.175537109375,-14270.984375,-55319.94140625,-24642.26171875,-51492.78515625,0,-4257.873046875,4902.25146484375,RestSSVEP
1566254509762,-1338.4000244140625,-14252.7685546875,-55380.89453125,-24629.744140625,-51485.765625,0,-4238.2705078125,4920.1328125,RestSSVEP
1566254509762,-1336.6119384765625,-14240.67578125,-55368.8671875,-24622.568359375,-51478.8359375,0,-4235.4765625,4922.3232421875,RestSSVEP
1566254509762,-1349.7547607421875,-14249.169921875,-55304.96484375,-24627.486328125,-51475.5078125,0,-4244.97607421875,4914.1201171875,RestSSVEP
1566254509762,-1351.6546630859375,-14257.775390625,-55307.82421875,-24631.443359375,-51478.30078125,0,-4241.3330078125,4917.8974609375,RestSSVEP
1566254509762,-1335.092041015625,-14243.5595703125,-55370.609375,-24624.849609375,-51474.63671875,0,-4220.16552734375,4937.9248046875,RestSSVEP
1566254509763,-1329.7275390625,-14229.0302734375,-55373.8984375,-24617.919921875,-51469.31640625,0,-4212.00732421875,4945.3232421875,RestSSVEP
1566254509763,-1343.272705078125,-14236.7421875,-55307.04296875,-24622.5234375,-51468.890625,0,-4220.43408203125,4937.81298828125,RestSSVEP
1566254509763,-1350.1124267578125,-14249.37109375,-55290.078125,-24630.4375,-51474.5234375,0,-4223.5185546875,4934.9072265625,RestSSVEP
1566254509763,-1332.879150390625,-14238.1943359375,-55350.49609375,-24622.546875,-51471.83984375,0,-4206.64306640625,4949.771484375,RestSSVEP
1566254509799,-1326.0618896484375,-14225.6328125,-55375.08203125,-24615.505859375,-51470.703125,0,-4204.2734375,4951.24658203125,RestSSVEP
1566254509800,-1341.3951416015625,-14236.18359375,-55318.98046875,-24623.26171875,-51473.76171875,0,-4222.736328125,4933.56640625,RestSSVEP
1566254509800,-1353.062744140625,-14254.3779296875,-55294.79296875,-24636.47265625,-51481.07421875,0,-4235.7001953125,4920.82568359375,RestSSVEP
1566254509800,-1341.23876953125,-14249.6162109375,-55353.4453125,-24632.76171875,-51480.46875,0,-4220.97021484375,4935.08642578125,RestSSVEP
1566254509800,-1334.6673583984375,-14235.892578125,-55397.92578125,-24627.5078125,-51479.5078125,0,-4212.275390625,4943.1103515625,RestSSVEP
1566254509800,-1348.81591796875,-14242.2177734375,-55348.21484375,-24633.365234375,-51478.45703125,0,-4226.42431640625,4928.87255859375,RestSSVEP
1566254509800,-1360.572998046875,-14257.1494140625,-55303.9140625,-24640.00390625,-51478.61328125,0,-4237.75634765625,4917.00341796875,RestSSVEP
1566254509800,-1356.482666015625,-14260.2109375,-55351.61328125,-24645.279296875,-51488.046875,0,-4232.8837890625,4919.66357421875,RestSSVEP
1566254509801,-1338.7576904296875,-14240.1171875,-55405.14453125,-24638.326171875,-51486.63671875,0,-4217.34912109375,4934.125,RestSSVEP
1566254509801,-1340.3446044921875,-14236.40625,-55367.32421875,-24635.287109375,-51479.46484375,0,-4220.97021484375,4930.75,RestSSVEP
1566254509837,-1352.5263671875,-14252.0751953125,-55313.61328125,-24648.33984375,-51485.765625,0,-4235.4765625,4916.89208984375,RestSSVEP
1566254509837,-1346.9608154296875,-14255.96484375,-55351.03125,-24655.8515625,-51498.21484375,0,-4231.6767578125,4918.76953125,RestSSVEP
1566254509837,-1330.1522216796875,-14237.3681640625,-55410.1953125,-24648.296875,-51497.27734375,0,-4218.2880859375,4931.84521484375,RestSSVEP
1566254509837,-1329.8170166015625,-14228.0244140625,-55387.30859375,-24645.322265625,-51494.73046875,0,-4222.95947265625,4927.576171875,RestSSVEP
1566254509837,-1340.6575927734375,-14237.904296875,-55321.66015625,-24650.6875,-51494.70703125,0,-4234.35888671875,4917.361328125,RestSSVEP
1566254509838,-1342.02099609375,-14248.4765625,-55336.703125,-24655.650390625,-51500.80859375,0,-4234.02392578125,4918.23291015625,RestSSVEP
1566254509838,-1323.6031494140625,-14231.7802734375,-55401.1640625,-24646.84375,-51497.09765625,0,-4215.5166015625,4938.08154296875,RestSSVEP
1566254509838,-1322.8656005859375,-14220.4697265625,-55402.93359375,-24647.111328125,-51495.95703125,0,-4213.97412109375,4941.43408203125,RestSSVEP
1566254509838,-1337.0142822265625,-14229.947265625,-55342.11328125,-24656.521484375,-51498.84375,0,-4226.0888671875,4929.40869140625,RestSSVEP
1566254509838,-1340.2552490234375,-14240.876953125,-55340.9296875,-24661.998046875,-51502.21875,0,-4226.96044921875,4926.43603515625,RestSSVEP
1566254509870,-1326.0172119140625,-14231.7802734375,-55404.96484375,-24654.5546875,-51500.6953125,0,-4212.23095703125,4939.51171875,RestSSVEP
1566254509870,-1325.7042236328125,-14224.158203125,-55415.671875,-24649.099609375,-51499.109375,0,-4212.4765625,4938.68505859375,RestSSVEP
1566254509870,-1341.43994140625,-14235.7138671875,-55349.19921875,-24652.36328125,-51495.7109375,0,-4225.462890625,4927.08447265625,RestSSVEP
1566254509871,-1358.1142578125,-14259.7646484375,-55322.0625,-24667.474609375,-51507.73828125,0,-4240.21533203125,4912.376953125,RestSSVEP
1566254509871,-1349.285400390625,-14257.775390625,-55376.9375,-24665.8203125,-51512.453125,0,-4231.6767578125,4918.9033203125,RestSSVEP
1566254509871,-1339.271728515625,-14241.3466796875,-55408.67578125,-24656.296875,-51507.9609375,0,-4223.96533203125,4925.1171875,RestSSVEP
1566254509871,-1352.973388671875,-14247.068359375,-55353.33203125,-24657.19140625,-51505.81640625,0,-4240.0810546875,4909.3369140625,RestSSVEP
1566254509871,-1364.5516357421875,-14264.771484375,-55316.09375,-24667.18359375,-51512.58984375,0,-4255.34716796875,4894.67431640625,RestSSVEP
1566254509871,-1356.0579833984375,-14265.1513671875,-55363.0546875,-24670.53515625,-51520.9921875,0,-4249.35693359375,4899.68115234375,RestSSVEP
1566254509872,-1340.7022705078125,-14246.7998046875,-55409.83984375,-24658.376953125,-51513.9296875,0,-4234.22509765625,4914.45556640625,RestSSVEP
1566254509907,-1348.3465576171875,-14247.962890625,-55366.54296875,-24655.8515625,-51507.8515625,0,-4242.517578125,4908.15234375,RestSSVEP
1566254509907,-1365.177490234375,-14268.3916015625,-55317.5703125,-24665.505859375,-51512.25390625,0,-4259.080078125,4894.00390625,RestSSVEP
1566254509907,-1362.517578125,-14274.94140625,-55351.546875,-24673.666015625,-51523.83203125,0,-4258.2529296875,4893.64599609375,RestSSVEP
