Time,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Direction
1567119756682,0.0,0.0,3447.71,-44.01,517.31,0.0,0.0,0.0,RestSSVEP
1567119756682,0.0,0.0,3460.7,-38.27,528.51,0.0,0.0,0.0,RestSSVEP
1567119756690,0.0,0.0,3500.6,-44.01,563.73,0.0,0.0,0.0,RestSSVEP
1567119756690,0.0,0.0,3489.6,-43.99,555.84,0.0,0.0,0.0,RestSSVEP
1567119756698,0.0,0.0,3467.27,-35.41,527.7,0.0,0.0,0.0,RestSSVEP
1567119756698,0.0,0.0,3462.37,-34.44,518.94,0.0,0.0,0.0,RestSSVEP
1567119756705,0.0,0.0,3494.27,-48.08,555.66,0.0,0.0,0.0,RestSSVEP
1567119756711,0.0,0.0,3484.21,-51.16,547.84,0.0,0.0,0.0,RestSSVEP
1567119756712,0.0,0.0,3458.06,-47.65,519.45,0.0,0.0,0.0,RestSSVEP
1567119756719,0.0,0.0,3442.97,-42.96,504.79,0.0,0.0,0.0,RestSSVEP
1567119756719,0.0,0.0,3491.86,-41.78,552.13,0.0,0.0,0.0,RestSSVEP
1567119756728,0.0,0.0,3490.92,-50.43,547.93,0.0,0.0,0.0,RestSSVEP
1567119756729,0.0,0.0,3454.13,-58.67,514.4,0.0,0.0,0.0,RestSSVEP
1567119756736,0.0,0.0,3432.53,-52.17,493.33,0.0,0.0,0.0,RestSSVEP
1567119756736,0.0,0.0,3462.58,-60.53,528.89,0.0,0.0,0.0,RestSSVEP
1567119756742,0.0,0.0,3466.44,-71.46,532.93,0.0,0.0,0.0,RestSSVEP
1567119756743,0.0,0.0,3452.74,-65.51,514.65,0.0,0.0,0.0,RestSSVEP
1567119756750,0.0,0.0,3427.06,-57.87,487.29,0.0,0.0,0.0,RestSSVEP
1567119756750,0.0,0.0,3448.34,-67.99,512.06,0.0,0.0,0.0,RestSSVEP
1567119756758,0.0,0.0,3471.09,-70.05,536.75,0.0,0.0,0.0,RestSSVEP
1567119756758,0.0,0.0,3452.05,-69.09,520.01,0.0,0.0,0.0,RestSSVEP
1567119756764,0.0,0.0,3432.36,-56.26,494.15,0.0,0.0,0.0,RestSSVEP
1567119756772,0.0,0.0,3443.08,-64.86,502.0,0.0,0.0,0.0,RestSSVEP
1567119756772,0.0,0.0,3464.12,-78.5,527.32,0.0,0.0,0.0,RestSSVEP
1567119756787,0.0,0.0,3450.46,-73.78,518.47,0.0,0.0,0.0,RestSSVEP
1567119756787,0.0,0.0,3434.41,-59.17,496.12,0.0,0.0,0.0,RestSSVEP
1567119756788,0.0,0.0,3441.12,-57.56,502.06,0.0,0.0,0.0,RestSSVEP
1567119756788,0.0,0.0,3469.26,-68.4,537.31,0.0,0.0,0.0,RestSSVEP
1567119756795,0.0,0.0,3458.6,-70.65,524.35,0.0,0.0,0.0,RestSSVEP
1567119756795,0.0,0.0,3439.29,-60.77,498.82,0.0,0.0,0.0,RestSSVEP
1567119756803,0.0,0.0,3425.38,-64.35,484.52,0.0,0.0,0.0,RestSSVEP
1567119756803,0.0,0.0,3466.15,-70.94,528.35,0.0,0.0,0.0,RestSSVEP
1567119756811,0.0,0.0,3460.65,-72.87,525.89,0.0,0.0,0.0,RestSSVEP
1567119756811,0.0,0.0,3438.44,-65.54,504.39,0.0,0.0,0.0,RestSSVEP
1567119756818,0.0,0.0,3421.58,-61.02,485.59,0.0,0.0,0.0,RestSSVEP
1567119756818,0.0,0.0,3463.51,-67.73,523.19,0.0,0.0,0.0,RestSSVEP
1567119756824,0.0,0.0,3460.88,-76.51,524.06,0.0,0.0,0.0,RestSSVEP
1567119756832,0.0,0.0,3432.6,-78.75,499.09,0.0,0.0,0.0,RestSSVEP
1567119756832,0.0,0.0,3420.51,-63.41,483.42,0.0,0.0,0.0,RestSSVEP
1567119756840,0.0,0.0,3458.35,-65.36,518.81,0.0,0.0,0.0,RestSSVEP
1567119756840,0.0,0.0,3464.01,-74.86,529.49,0.0,0.0,0.0,RestSSVEP
1567119756846,0.0,0.0,3436.04,-82.17,502.06,0.0,0.0,0.0,RestSSVEP
1567119756847,0.0,0.0,3406.43,-81.23,467.13,0.0,0.0,0.0,RestSSVEP
1567119756855,0.0,0.0,3436.2,-78.59,498.13,0.0,0.0,0.0,RestSSVEP
1567119756855,0.0,0.0,3476.08,-65.54,541.23,0.0,0.0,0.0,RestSSVEP
1567119756862,0.0,0.0,3449.41,-71.66,518.25,0.0,0.0,0.0,RestSSVEP
1567119756863,0.0,0.0,3415.15,-73.69,479.13,0.0,0.0,0.0,RestSSVEP
1567119756870,0.0,0.0,3423.48,-74.68,494.44,0.0,0.0,0.0,RestSSVEP
1567119756870,0.0,0.0,3458.15,-82.3,526.58,0.0,0.0,0.0,RestSSVEP
1567119756877,0.0,0.0,3459.11,-69.83,523.08,0.0,0.0,0.0,RestSSVEP
1567119756877,0.0,0.0,3433.65,-59.68,500.43,0.0,0.0,0.0,RestSSVEP
1567119756884,0.0,0.0,3430.95,-64.06,494.04,0.0,0.0,0.0,RestSSVEP
1567119756884,0.0,0.0,3456.34,-83.08,522.27,0.0,0.0,0.0,RestSSVEP
1567119756894,0.0,0.0,3444.36,-82.88,517.17,0.0,0.0,0.0,RestSSVEP
1567119756901,0.0,0.0,3423.93,-70.86,500.12,0.0,0.0,0.0,RestSSVEP
1567119756901,0.0,0.0,3417.83,-68.49,487.34,0.0,0.0,0.0,RestSSVEP
1567119756907,0.0,0.0,3448.67,-83.44,523.12,0.0,0.0,0.0,RestSSVEP
1567119756907,0.0,0.0,3451.58,-80.71,524.13,0.0,0.0,0.0,RestSSVEP
1567119756915,0.0,0.0,3424.69,-80.82,496.68,0.0,0.0,0.0,RestSSVEP
1567119756915,0.0,0.0,3415.7,-66.27,487.07,0.0,0.0,0.0,RestSSVEP
1567119756923,0.0,0.0,3449.63,-77.07,523.25,0.0,0.0,0.0,RestSSVEP
1567119756923,0.0,0.0,3452.23,-83.66,529.04,0.0,0.0,0.0,RestSSVEP
1567119756929,0.0,0.0,3424.71,-82.92,507.23,0.0,0.0,0.0,RestSSVEP
1567119756930,0.0,0.0,3401.35,-75.97,481.52,0.0,0.0,0.0,RestSSVEP
1567119756937,0.0,0.0,3431.31,-85.56,506.29,0.0,0.0,0.0,RestSSVEP
1567119756937,0.0,0.0,3439.82,-98.93,517.0,0.0,0.0,0.0,RestSSVEP
1567119756945,0.0,0.0,3418.1,-98.64,499.85,0.0,0.0,0.0,RestSSVEP
1567119756946,0.0,0.0,3397.31,-84.29,479.13,0.0,0.0,0.0,RestSSVEP
1567119756952,0.0,0.0,3411.23,-95.08,493.71,0.0,0.0,0.0,RestSSVEP
1567119756959,0.0,0.0,3442.97,-98.37,522.99,0.0,0.0,0.0,RestSSVEP
1567119756959,0.0,0.0,3437.47,-89.83,511.81,0.0,0.0,0.0,RestSSVEP
1567119756967,0.0,0.0,3406.92,-82.9,483.0,0.0,0.0,0.0,RestSSVEP
1567119756967,0.0,0.0,3403.66,-99.11,475.71,0.0,0.0,0.0,RestSSVEP
1567119756975,0.0,0.0,3434.73,-114.13,504.41,0.0,0.0,0.0,RestSSVEP
1567119756975,0.0,0.0,3418.54,-116.27,490.8,0.0,0.0,0.0,RestSSVEP
1567119756982,0.0,0.0,3393.75,-101.57,469.45,0.0,0.0,0.0,RestSSVEP
1567119756982,0.0,0.0,3392.5,-94.12,470.15,0.0,0.0,0.0,RestSSVEP
1567119756990,0.0,0.0,3437.56,-102.75,510.94,0.0,0.0,0.0,RestSSVEP
1567119756990,0.0,0.0,3432.13,-102.51,505.55,0.0,0.0,0.0,RestSSVEP
1567119756998,0.0,0.0,3410.07,-92.36,483.6,0.0,0.0,0.0,RestSSVEP
1567119756998,0.0,0.0,3395.63,-87.19,472.27,0.0,0.0,0.0,RestSSVEP
1567119757006,0.0,0.0,3429.07,-104.7,504.5,0.0,0.0,0.0,RestSSVEP
1567119757006,0.0,0.0,3444.22,-97.14,512.7,0.0,0.0,0.0,RestSSVEP
1567119757012,0.0,0.0,3427.39,-87.64,495.45,0.0,0.0,0.0,RestSSVEP
1567119757019,0.0,0.0,3403.63,-81.25,474.37,0.0,0.0,0.0,RestSSVEP
1567119757020,0.0,0.0,3441.25,-92.45,510.45,0.0,0.0,0.0,RestSSVEP
1567119757027,0.0,0.0,3447.53,-97.5,520.39,0.0,0.0,0.0,RestSSVEP
1567119757027,0.0,0.0,3415.3,-100.69,494.4,0.0,0.0,0.0,RestSSVEP
1567119757035,0.0,0.0,3379.29,-98.95,462.26,0.0,0.0,0.0,RestSSVEP
1567119757035,0.0,0.0,3416.49,-104.81,489.28,0.0,0.0,0.0,RestSSVEP
1567119757042,0.0,0.0,3448.11,-103.31,515.19,0.0,0.0,0.0,RestSSVEP
1567119757042,0.0,0.0,3426.88,-99.02,501.44,0.0,0.0,0.0,RestSSVEP
1567119757051,0.0,0.0,3398.43,-84.49,478.39,0.0,0.0,0.0,RestSSVEP
1567119757052,0.0,0.0,3407.88,-100.96,484.27,0.0,0.0,0.0,RestSSVEP
1567119757058,0.0,0.0,3430.14,-119.67,504.64,0.0,0.0,0.0,RestSSVEP
1567119757058,0.0,0.0,3407.28,-122.82,485.21,0.0,0.0,0.0,RestSSVEP
1567119757065,0.0,0.0,3379.23,-110.84,460.74,0.0,0.0,0.0,RestSSVEP
1567119757065,0.0,0.0,3399.66,-100.81,474.04,0.0,0.0,0.0,RestSSVEP
1567119757072,0.0,0.0,3435.64,-118.78,501.95,0.0,0.0,0.0,RestSSVEP
1567119757080,0.0,0.0,3421.4,-119.78,489.17,0.0,0.0,0.0,RestSSVEP
1567119757080,0.0,0.0,3393.6,-105.43,470.19,0.0,0.0,0.0,RestSSVEP
1567119757088,0.0,0.0,3375.27,-113.19,453.34,0.0,0.0,0.0,RestSSVEP
1567119757088,0.0,0.0,3419.48,-126.42,488.54,0.0,0.0,0.0,RestSSVEP
1567119757094,0.0,0.0,3423.82,-119.94,491.81,0.0,0.0,0.0,RestSSVEP
1567119757094,0.0,0.0,3401.24,-108.05,473.1,0.0,0.0,0.0,RestSSVEP
1567119757102,0.0,0.0,3374.47,-110.73,450.23,0.0,0.0,0.0,RestSSVEP
1567119757102,0.0,0.0,3408.75,-129.84,483.18,0.0,0.0,0.0,RestSSVEP
1567119757110,0.0,0.0,3419.17,-127.78,488.3,0.0,0.0,0.0,RestSSVEP
1567119757110,0.0,0.0,3384.81,-130.36,462.93,0.0,0.0,0.0,RestSSVEP
1567119757117,0.0,0.0,3367.25,-114.6,448.67,0.0,0.0,0.0,RestSSVEP
1567119757117,0.0,0.0,3408.6,-121.97,480.12,0.0,0.0,0.0,RestSSVEP
1567119757125,0.0,0.0,3422.74,-126.53,494.73,0.0,0.0,0.0,RestSSVEP
1567119757126,0.0,0.0,3395.25,-128.05,469.19,0.0,0.0,0.0,RestSSVEP
1567119757132,0.0,0.0,3357.41,-126.0,434.88,0.0,0.0,0.0,RestSSVEP
1567119757132,0.0,0.0,3394.6,-128.1,463.49,0.0,0.0,0.0,RestSSVEP
1567119757140,0.0,0.0,3428.62,-126.47,492.01,0.0,0.0,0.0,RestSSVEP
