Time,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Direction
1565736637722,8093.87939453125,-21290.751953125,0,0,0,0,14118.3671875,22615.78515625,Rest
1565736637724,8095.66748046875,-21291.779296875,0,0,0,0,14120.490234375,22618.69140625,Rest
1565736637726,8042.0234375,-21291.7578125,0,0,0,0,14123.150390625,22621.216796875,Rest
1565736637727,8028.50048828125,-21288.26953125,0,0,0,0,14124.6259765625,22622.333984375,Rest
1565736637728,8090.7275390625,-21282.458984375,0,0,0,0,14128.1123046875,22625.6875,Rest
1565736637729,8108.83251953125,-21283.263671875,0,0,0,0,14128.73828125,22626.3125,Rest
1565736637729,8052.08154296875,-21292.203125,0,0,0,0,14121.5634765625,22619.13671875,Rest
1565736637730,8025.5947265625,-21288.26953125,0,0,0,0,14123.3515625,22619.607421875,Rest
1565736637731,8080.62451171875,-21282.146484375,0,0,0,0,14126.6591796875,22622.958984375,Rest
1565736637733,8113.90625,-21285.4765625,0,0,0,0,14123.2841796875,22620.255859375,Rest
1565736637761,8068.7783203125,-21288.380859375,0,0,0,0,14122.345703125,22619.048828125,Rest
1565736637761,8023.60546875,-21290.080078125,0,0,0,0,14119.5068359375,22616.947265625,Rest
1565736637762,8069.89599609375,-21282.525390625,0,0,0,0,14124.4912109375,22623.4296875,Rest
1565736637762,8116.72265625,-21285.498046875,0,0,0,0,14119.8427734375,22618.130859375,Rest
1565736637762,8085.720703125,-21284.291015625,0,0,0,0,14124.0888671875,22622.177734375,Rest
1565736637762,8033.8203125,-21285.453125,0,0,0,0,14124.6484375,22623.7421875,Rest
1565736637763,8058.7646484375,-21279.708984375,0,0,0,0,14128.1572265625,22627.5859375,Rest
1565736637763,8117.28173828125,-21278.2109375,0,0,0,0,14128.828125,22628.078125,Rest
1565736637764,8093.67822265625,-21284.537109375,0,0,0,0,14125.720703125,22625.41796875,Rest
1565736637764,8035.47412109375,-21288.626953125,0,0,0,0,14123.798828125,22623.98828125,Rest
1565736637794,8047.0078125,-21283.083984375,0,0,0,0,14128.7158203125,22628.7265625,Rest
1565736637795,8109.5029296875,-21283.732421875,0,0,0,0,14126.7939453125,22625.73046875,Rest
1565736637795,8100.69677734375,-21286.146484375,0,0,0,0,14126.1005859375,22625.015625,Rest
1565736637796,8040.7939453125,-21290.169921875,0,0,0,0,14125.2958984375,22623.384765625,Rest
1565736637796,8036.14453125,-21282.591796875,0,0,0,0,14132.1357421875,22629.59765625,Rest
1565736637796,8101.27783203125,-21279.708984375,0,0,0,0,14131.197265625,22627.67578125,Rest
1565736637797,8105.345703125,-21287.041015625,0,0,0,0,14124.3798828125,22619.40625,Rest
1565736637798,8046.67236328125,-21291.466796875,0,0,0,0,14121.9658203125,22618.490234375,Rest
1565736637799,8024.365234375,-21288.671875,0,0,0,0,14124.7373046875,22622.6015625,Rest
1565736637801,8083.9775390625,-21285.900390625,0,0,0,0,14124.8046875,22623.18359375,Rest
1565736637831,8108.87744140625,-21288.314453125,0,0,0,0,14123.306640625,22621.931640625,Rest
1565736637831,8051.07568359375,-21293.41015625,0,0,0,0,14120.826171875,22619.986328125,Rest
1565736637832,8016.54248046875,-21293.8125,0,0,0,0,14120.5126953125,22618.84765625,Rest
1565736637833,8069.22509765625,-21285.767578125,0,0,0,0,14125.720703125,22623.697265625,Rest
1565736637834,8110.5537109375,-21287.912109375,0,0,0,0,14123.6201171875,22620.76953125,Rest
1565736637836,8068.5546875,-21291.2421875,0,0,0,0,14120.9150390625,22618.087890625,Rest
1565736637836,8027.29345703125,-21288.046875,0,0,0,0,14124.201171875,22623.16015625,Rest
1565736637837,8065.0234375,-21281.564453125,0,0,0,0,14129.185546875,22628.14453125,Rest
1565736637837,8118.28759765625,-21284.380859375,0,0,0,0,14126.4365234375,22625.5078125,Rest
1565736637838,8084.916015625,-21288.068359375,0,0,0,0,14124.759765625,22623.16015625,Rest
1565736637867,8026.93603515625,-21291.623046875,0,0,0,0,14122.6806640625,22622.04296875,Rest
1565736637867,8051.88037109375,-21284.24609375,0,0,0,0,14130.9736328125,22631.38671875,Rest
1565736637868,8110.3525390625,-21285.54296875,0,0,0,0,14130.6162109375,22632.056640625,Rest
1565736637868,8089.587890625,-21290.86328125,0,0,0,0,14126.5029296875,22627.69921875,Rest
1565736637868,8033.88720703125,-21292.361328125,0,0,0,0,14126.927734375,22628.48046875,Rest
1565736637868,8036.2119140625,-21289.56640625,0,0,0,0,14128.0009765625,22628.748046875,Rest
1565736637869,8096.87451171875,-21288.494140625,0,0,0,0,14127.4423828125,22629.150390625,Rest
1565736637869,8093.119140625,-21295.6015625,0,0,0,0,14120.6474609375,22623.384765625,Rest
1565736637869,8039.765625,-21295.556640625,0,0,0,0,14121.4072265625,22623.65234375,Rest
1565736637870,8027.51708984375,-21290.974609375,0,0,0,0,14123.060546875,22624.501953125,Rest
1565736637900,8085.29638671875,-21292.517578125,0,0,0,0,14119.529296875,22619.853515625,Rest
1565736637900,8096.85205078125,-21297.8359375,0,0,0,0,14115.193359375,22614.755859375,Rest
1565736637901,8038.87158203125,-21303.08984375,0,0,0,0,14111.68359375,22611.248046875,Rest
1565736637901,8018.419921875,-21298.91015625,0,0,0,0,14114.7685546875,22613.99609375,Rest
1565736637902,8074.7685546875,-21294.818359375,0,0,0,0,14115.5283203125,22613.974609375,Rest
1565736637902,8102.68603515625,-21298.26171875,0,0,0,0,14113.94140625,22612.185546875,Rest
1565736637902,8055.30029296875,-21303.693359375,0,0,0,0,14111.7060546875,22609.861328125,Rest
1565736637902,8016.408203125,-21300.80859375,0,0,0,0,14114.857421875,22614.01953125,Rest
1565736637903,8066.07373046875,-21292.181640625,0,0,0,0,14119.1044921875,22617.439453125,Rest
1565736637904,8110.88916015625,-21296.25,0,0,0,0,14114.3212890625,22613.572265625,Rest
1565736637972,8063.23486328125,-21303.46875,0,0,0,0,14111.482421875,22612.990234375,Rest
1565736637972,8011.8486328125,-21305.63671875,0,0,0,0,14111.7060546875,22614.421875,Rest
1565736637973,8045.53271484375,-21299.177734375,0,0,0,0,14117.2939453125,22620.255859375,Rest
1565736637973,8099.3330078125,-21301.390625,0,0,0,0,14115.595703125,22618.84765625,Rest
1565736637973,8071.974609375,-21306.53125,0,0,0,0,14113.337890625,22616.90234375,Rest
1565736637973,8017.4365234375,-21308.923828125,0,0,0,0,14112.2431640625,22615.2265625,Rest
1565736637974,8033.57421875,-21303.021484375,0,0,0,0,14115.4169921875,22618.17578125,Rest
1565736637974,8097.83544921875,-21302.708984375,0,0,0,0,14113.2705078125,22615.60546875,Rest
1565736637974,8085.83251953125,-21302.888671875,0,0,0,0,14113.7626953125,22615.001953125,Rest
1565736637974,8029.32763671875,-21300.765625,0,0,0,0,14115.86328125,22615.13671875,Rest
1565736638006,8032.76953125,-21292.404296875,0,0,0,0,14121.8759765625,22619.47265625,Rest
1565736638007,8097.90283203125,-21291.958984375,0,0,0,0,14121.3173828125,22619.205078125,Rest
1565736638007,8101.07666015625,-21293.92578125,0,0,0,0,14120.8701171875,22618.66796875,Rest
1565736638007,8044.48193359375,-21297.322265625,0,0,0,0,14119.685546875,22618.466796875,Rest
1565736638008,8031.2275390625,-21289.38671875,0,0,0,0,14126.1455078125,22624.994140625,Rest
1565736638008,8092.09130859375,-21286.90625,0,0,0,0,14126.0556640625,22624.234375,Rest
1565736638009,8106.3515625,-21295.490234375,0,0,0,0,14118.568359375,22616.478515625,Rest
1565736638009,8052.39453125,-21299.580078125,0,0,0,0,14115.86328125,22613.259765625,Rest
