Time,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Direction
1565909325062,0,0,-5373.00146484375,-48914.421875,-6416.984375,0,0,0,RestSSVEP
1565909325062,0,0,-5379.751953125,-48919.09375,-6423.48876953125,0,0,0,RestSSVEP
1565909325062,0,0,-5415.6484375,-48950.18359375,-6436.72119140625,0,0,0,RestSSVEP
1565909325063,0,0,-5426.57861328125,-48957.44921875,-6438.5537109375,0,0,0,RestSSVEP
1565909325063,0,0,-5394.3251953125,-48926.89453125,-6424.025390625,0,0,0,RestSSVEP
1565909325063,0,0,-5391.39697265625,-48922.71484375,-6425.8134765625,0,0,0,RestSSVEP
1565909325063,0,0,-5419.3369140625,-48951.2109375,-6439.1572265625,0,0,0,RestSSVEP
1565909325064,0,0,-5420.4990234375,-48957.11328125,-6442.10791015625,0,0,0,RestSSVEP
1565909325065,0,0,-5405.92578125,-48934.0234375,-6428.67431640625,0,0,0,RestSSVEP
1565909325065,0,0,-5406.57373046875,-48928.79296875,-6431.7587890625,0,0,0,RestSSVEP
1565909325129,0,0,-5428.38916015625,-48956.375,-6442.48779296875,0,0,0,RestSSVEP
1565909325129,0,0,-5395.30859375,-48928.1015625,-6426.640625,0,0,0,RestSSVEP
1565909325129,0,0,-5408.56298828125,-48937.5546875,-6436.07275390625,0,0,0,RestSSVEP
1565909325130,0,0,-5424.4775390625,-48957.29296875,-6444.1416015625,0,0,0,RestSSVEP
1565909325130,0,0,-5416.140625,-48954.41015625,-6440.9677734375,0,0,0,RestSSVEP
1565909325130,0,0,-5382.45654296875,-48923.16015625,-6421.96875,0,0,0,RestSSVEP
1565909325131,0,0,-5396.82861328125,-48927.09375,-6428.24951171875,0,0,0,RestSSVEP
1565909325131,0,0,-5429.73046875,-48955.1484375,-6441.6162109375,0,0,0,RestSSVEP
1565909325131,0,0,-5417.8837890625,-48947.1875,-6432.27294921875,0,0,0,RestSSVEP
1565909325132,0,0,-5379.70703125,-48915.18359375,-6412.71533203125,0,0,0,RestSSVEP
1565909325161,0,0,-5383.37255859375,-48914.265625,-6418.50439453125,0,0,0,RestSSVEP
1565909325162,0,0,-5415.35791015625,-48942.67578125,-6430.70849609375,0,0,0,RestSSVEP
1565909325162,0,0,-5426.9140625,-48955.79296875,-6437.4365234375,0,0,0,RestSSVEP
1565909325162,0,0,-5404.65185546875,-48936.4375,-6427.3779296875,0,0,0,RestSSVEP
1565909325162,0,0,-5401.18701171875,-48927.9453125,-6427.86962890625,0,0,0,RestSSVEP
1565909325163,0,0,-5439.3193359375,-48961.47265625,-6451.2275390625,0,0,0,RestSSVEP
1565909325163,0,0,-5441.95654296875,-48973.140625,-6458.9609375,0,0,0,RestSSVEP
1565909325163,0,0,-5400.7177734375,-48942.51953125,-6439.4033203125,0,0,0,RestSSVEP
1565909325163,0,0,-5378.4775390625,-48916.859375,-6424.2265625,0,0,0,RestSSVEP
1565909325163,0,0,-5430.55712890625,-48951.79296875,-6446.9580078125,0,0,0,RestSSVEP
1565909325196,0,0,-5440.3251953125,-48968.46875,-6455.8095703125,0,0,0,RestSSVEP
1565909325196,0,0,-5408.58544921875,-48947.0546875,-6440.23046875,0,0,0,RestSSVEP
1565909325197,0,0,-5377.60595703125,-48916.09765625,-6419.91259765625,0,0,0,RestSSVEP
1565909325197,0,0,-5403.2880859375,-48932.05859375,-6428.47314453125,0,0,0,RestSSVEP
1565909325197,0,0,-5426.42236328125,-48954.0078125,-6437.32470703125,0,0,0,RestSSVEP
1565909325197,0,0,-5405.8583984375,-48940.125,-6427.33349609375,0,0,0,RestSSVEP
1565909325197,0,0,-5383.57373046875,-48917.39453125,-6414.81640625,0,0,0,RestSSVEP
1565909325198,0,0,-5406.8642578125,-48932.21484375,-6424.91943359375,0,0,0,RestSSVEP
1565909325198,0,0,-5432.77001953125,-48959.4140625,-6442.33154296875,0,0,0,RestSSVEP
1565909325198,0,0,-5425.34912109375,-48956.17578125,-6440.49853515625,0,0,0,RestSSVEP
1565909325234,0,0,-5388.02197265625,-48924.6796875,-6420.560546875,0,0,0,RestSSVEP
1565909325234,0,0,-5401.0751953125,-48930.58203125,-6427.7802734375,0,0,0,RestSSVEP
1565909325235,0,0,-5434.111328125,-48958.609375,-6442.84521484375,0,0,0,RestSSVEP
1565909325235,0,0,-5438.3134765625,-48965.02734375,-6446.66748046875,0,0,0,RestSSVEP
1565909325235,0,0,-5397.18603515625,-48934.24609375,-6427.24365234375,0,0,0,RestSSVEP
1565909325236,0,0,-5393.9228515625,-48922.35546875,-6422.66162109375,0,0,0,RestSSVEP
1565909325236,0,0,-5429.328125,-48950.20703125,-6436.0283203125,0,0,0,RestSSVEP
1565909325237,0,0,-5436.32421875,-48959.73046875,-6441.9736328125,0,0,0,RestSSVEP
1565909325237,0,0,-5397.7001953125,-48932.59375,-6425.58984375,0,0,0,RestSSVEP
1565909325238,0,0,-5377.4716796875,-48914.33203125,-6416.11279296875,0,0,0,RestSSVEP
1565909325302,0,0,-5401.2763671875,-48933.6875,-6428.9873046875,0,0,0,RestSSVEP
1565909325303,0,0,-5413.56982421875,-48943.5,-6429.92626953125,0,0,0,RestSSVEP
1565909325303,0,0,-5401.701171875,-48932.97265625,-6421.47705078125,0,0,0,RestSSVEP
1565909325304,0,0,-5378.4775390625,-48909.79296875,-6411.642578125,0,0,0,RestSSVEP
1565909325304,0,0,-5408.25048828125,-48932.59375,-6425.70166015625,0,0,0,RestSSVEP
1565909325306,0,0,-5431.78662109375,-48953.58203125,-6436.7880859375,0,0,0,RestSSVEP
1565909325308,0,0,-5415.76025390625,-48946.4296875,-6433.72607421875,0,0,0,RestSSVEP
1565909325308,0,0,-5387.03857421875,-48918.9140625,-6417.38671875,0,0,0,RestSSVEP
1565909325309,0,0,-5416.36376953125,-48937.9375,-6429.7470703125,0,0,0,RestSSVEP
1565909325309,0,0,-5431.09375,-48956.93359375,-6439.69384765625,0,0,0,RestSSVEP
1565909325376,0,0,-5397.5439453125,-48920.0546875,-6419.51025390625,0,0,0,RestSSVEP
1565909325377,0,0,-5426.57861328125,-48946.875,-6434.1728515625,0,0,0,RestSSVEP
1565909325377,0,0,-5423.650390625,-48950.33984375,-6434.68701171875,0,0,0,RestSSVEP
1565909325377,0,0,-5395.107421875,-48926.4453125,-6418.8173828125,0,0,0,RestSSVEP
1565909325378,0,0,-5386.14453125,-48911.359375,-6410.8154296875,0,0,0,RestSSVEP
1565909325378,0,0,-5414.19580078125,-48936.4375,-6425.544921875,0,0,0,RestSSVEP
1565909325378,0,0,-5422.62255859375,-48948.91015625,-6430.619140625,0,0,0,RestSSVEP
1565909325378,0,0,-5400.38232421875,-48930.60546875,-6415.66552734375,0,0,0,RestSSVEP
1565909325379,0,0,-5388.267578125,-48914.35546875,-6411.30712890625,0,0,0,RestSSVEP
1565909325379,0,0,-5423.29296875,-48939.12109375,-6426.953125,0,0,0,RestSSVEP
1565909325410,0,0,-5440.6376953125,-48959.90625,-6436.765625,0,0,0,RestSSVEP
1565909325411,0,0,-5428.6796875,-48953.4921875,-6435.0224609375,0,0,0,RestSSVEP
1565909325412,0,0,-5399.55517578125,-48923.2265625,-6419.443359375,0,0,0,RestSSVEP
1565909325412,0,0,-5419.35888671875,-48935.9453125,-6429.12158203125,0,0,0,RestSSVEP
1565909325412,0,0,-5437.9111328125,-48955.8828125,-6438.017578125,0,0,0,RestSSVEP
1565909325412,0,0,-5417.302734375,-48942.8515625,-6429.85888671875,0,0,0,RestSSVEP
1565909325412,0,0,-5387.64208984375,-48912.41015625,-6412.5810546875,0,0,0,RestSSVEP
