Time,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Direction
1553986771661,8575.447265625,6875.5751953125,0,0,0,0,4416.65966796875,14903.181640625,Rest
1553986771664,8567.53515625,6835.69970703125,0,0,0,0,4367.44140625,14770.4345703125,Rest
1553986771664,8561.9921875,6813.951171875,0,0,0,0,4380.6513671875,14512.0927734375,Rest
1553986771667,8568.3623046875,6855.45849609375,0,0,0,0,4419.7890625,14660.888671875,Rest
1553986771668,8570.75390625,6875.7763671875,0,0,0,0,4419.185546875,14887.37890625,Rest
1553986771668,8569.9267578125,6848.03759765625,0,0,0,0,4376.09130859375,14812.6572265625,Rest
1553986771669,8569.8369140625,6822.71337890625,0,0,0,0,4380.51708984375,14546.4033203125,Rest
1553986771669,8576.2744140625,6858.31982421875,0,0,0,0,4422.6279296875,14612.3408203125,Rest
1553986771669,8578.5546875,6889.58984375,0,0,0,0,4427.90283203125,14888.0498046875,Rest
1553986771670,8573.7490234375,6862.96875,0,0,0,0,4385.09912109375,14851.68359375,Rest
1553986771730,8569.904296875,6827.7421875,0,0,0,0,4378.88525390625,14597.87890625,Rest
1553986771736,8575.0224609375,6849.53515625,0,0,0,0,4423.47705078125,14574.6552734375,Rest
1553986771736,8576.05078125,6880.04541015625,0,0,0,0,4433.8037109375,14859.505859375,Rest
1553986771737,8572.20703125,6855.1904296875,0,0,0,0,4394.77734375,14862.658203125,Rest
1553986771738,8574.173828125,6818.7568359375,0,0,0,0,4373.23046875,14635.162109375,Rest
1553986771738,8578.755859375,6833.73291015625,0,0,0,0,4412.435546875,14529.080078125,Rest
1553986771739,8580.8125,6873.787109375,0,0,0,0,4429.2216796875,14818.021484375,Rest
1553986771740,8577.66015625,6864.8017578125,0,0,0,0,4400.56640625,14885.3896484375,Rest
1553986771741,8572.966796875,6825.50732421875,0,0,0,0,4367.2177734375,14690.3701171875,Rest
1553986771741,8577.2353515625,6829.75390625,0,0,0,0,4407.5625,14514.2607421875,Rest
1553986771767,8579.76171875,6870.90380859375,0,0,0,0,4434.384765625,14775.1064453125,Rest
1553986771768,8581.3486328125,6873.5859375,0,0,0,0,4419.14111328125,14901.7958984375,Rest
1553986771769,8580.2529296875,6836.4150390625,0,0,0,0,4378.12548828125,14738.337890625,Rest
1553986771769,8579.76171875,6870.90380859375,0,0,0,0,4434.384765625,14775.1064453125,Rest
1553986771769,8581.3486328125,6873.5859375,0,0,0,0,4419.14111328125,14901.7958984375,Rest
1553986771770,8580.2529296875,6836.4150390625,0,0,0,0,4378.12548828125,14738.337890625,Rest
1553986771770,8578.2861328125,6824.45654296875,0,0,0,0,4398.599609375,14505.1865234375,Rest
1553986771771,8583.091796875,6861.67236328125,0,0,0,0,4423.49951171875,14706.0166015625,Rest
1553986771771,8578.509765625,6870.1884765625,0,0,0,0,4406.802734375,14886.8427734375,Rest
1553986771772,8573.5927734375,6834.224609375,0,0,0,0,4362.009765625,14767.1484375,Rest
1553986771772,8574.1064453125,6819.53955078125,0,0,0,0,4382.90869140625,14521.01171875,Rest
1553986771772,8573.2568359375,6855.70458984375,0,0,0,0,4426.67333984375,14666.7451171875,Rest
1553986771772,8574.1513671875,6877.20703125,0,0,0,0,4432.015625,14902.1533203125,Rest
1553986771774,8578.2861328125,6824.45654296875,0,0,0,0,4398.599609375,14505.1865234375,Rest
1553986771774,8583.091796875,6861.67236328125,0,0,0,0,4423.49951171875,14706.0166015625,Rest
1553986771777,8578.509765625,6870.1884765625,0,0,0,0,4406.802734375,14886.8427734375,Rest
1553986771778,8573.5927734375,6834.224609375,0,0,0,0,4362.009765625,14767.1484375,Rest
1553986771778,8574.1064453125,6819.53955078125,0,0,0,0,4382.90869140625,14521.01171875,Rest
1553986771778,8573.2568359375,6855.70458984375,0,0,0,0,4426.67333984375,14666.7451171875,Rest
1553986771778,8574.1513671875,6877.20703125,0,0,0,0,4432.015625,14902.1533203125,Rest
1553986771798,8574.3076171875,6849.6025390625,0,0,0,0,4392.34130859375,14828.146484375,Rest
1553986771800,8568.0712890625,6818.13134765625,0,0,0,0,4392.29638671875,14564.1728515625,Rest
1553986771801,8571.15625,6849.04345703125,0,0,0,0,4432.775390625,14612.9443359375,Rest
1553986771802,8574.240234375,6880.134765625,0,0,0,0,4439.7490234375,14883.19921875,Rest
1553986771802,8568.2724609375,6853.7373046875,0,0,0,0,4394.48681640625,14851.080078125,Rest
1553986771803,8561.052734375,6814.3984375,0,0,0,0,4376.001953125,14593.654296875,Rest
1553986771803,8565.6572265625,6833.9560546875,0,0,0,0,4415.14013671875,14557.2880859375,Rest
1553986771803,8570.5751953125,6869.42822265625,0,0,0,0,4430.0263671875,14846.20703125,Rest
1553986771804,8568.9658203125,6852.06103515625,0,0,0,0,4394.1962890625,14869.3408203125,Rest
1553986771804,8562.505859375,6811.51513671875,0,0,0,0,4367.91064453125,14641.0849609375,Rest
1553986771833,8567.490234375,6825.1943359375,0,0,0,0,4410.11083984375,14523.8056640625,Rest
1553986771834,8572.4296875,6866.32177734375,0,0,0,0,4432.619140625,14808.208984375,Rest
1553986771835,8567.490234375,6825.1943359375,0,0,0,0,4410.11083984375,14523.8056640625,Rest
1553986771835,8570.1279296875,6859.32568359375,0,0,0,0,4407.96484375,14881.58984375,Rest
1553986771835,8572.4296875,6866.32177734375,0,0,0,0,4432.619140625,14808.208984375,Rest
1553986771835,8563.19921875,6819.0029296875,0,0,0,0,4372.09033203125,14695.5341796875,Rest
1553986771835,8570.1279296875,6859.32568359375,0,0,0,0,4407.96484375,14881.58984375,Rest
1553986771835,8561.65625,6815.33740234375,0,0,0,0,4403.71826171875,14503.041015625,Rest
1553986771836,8563.19921875,6819.0029296875,0,0,0,0,4372.09033203125,14695.5341796875,Rest
1553986771836,8565.92578125,6854.966796875,0,0,0,0,4428.349609375,14753.6708984375,Rest
1553986771836,8561.65625,6815.33740234375,0,0,0,0,4403.71826171875,14503.041015625,Rest
1553986771836,8564.607421875,6858.45361328125,0,0,0,0,4410.1552734375,14892.966796875,Rest
