Time,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Direction
1553982954742,-20848.857421875,-15125.5810546875,0,0,0,0,-58421.46875,-19710.4609375,Rest
1553982954743,-20844.029296875,-15120.5966796875,0,0,0,0,-58429.22265625,-19711.869140625,Rest
1553982954743,-20837.994140625,-15113.66796875,0,0,0,0,-58434.921875,-19711.82421875,Rest
1553982954743,-20838.77734375,-15114.0029296875,0,0,0,0,-58426.38671875,-19710.818359375,Rest
1553982954743,-20841.1015625,-15118.5849609375,0,0,0,0,-58419.03125,-19712.248046875,Rest
1553982954744,-20843.42578125,-15121.06640625,0,0,0,0,-58431.390625,-19718.306640625,Rest
1553982954744,-20841.99609375,-15118.5849609375,0,0,0,0,-58442.23046875,-19717.94921875,Rest
1553982954744,-20840.564453125,-15116.4169921875,0,0,0,0,-58430.23046875,-19708.740234375,Rest
1553982954745,-20839.693359375,-15114.8974609375,0,0,0,0,-58412.125,-19701.9453125,Rest
1553982954745,-20839.423828125,-15115.0986328125,0,0,0,0,-58417.2890625,-19705.431640625,Rest
1553982954777,-20836.1171875,-15111.7236328125,0,0,0,0,-58429.15625,-19706.771484375,Rest
1553982954778,-20838.8203125,-15114.181640625,0,0,0,0,-58426.54296875,-19704.068359375,Rest
1553982954778,-20837.994140625,-15113.01953125,0,0,0,0,-58409.0625,-19698.525390625,Rest
1553982954778,-20838.015625,-15113.265625,0,0,0,0,-58409.890625,-19701.095703125,Rest
1553982954779,-20837.32421875,-15112.9306640625,0,0,0,0,-58427.1015625,-19708.203125,Rest
1553982954779,-20834.640625,-15111.208984375,0,0,0,0,-58427.16796875,-19706.4375,Rest
1553982954780,-20835.177734375,-15111.8798828125,0,0,0,0,-58410.55859375,-19701.744140625,Rest
1553982954780,-20835.244140625,-15112.37109375,0,0,0,0,-58407.4765625,-19703.44140625,Rest
1553982954780,-20836.048828125,-15112.5947265625,0,0,0,0,-58425.1328125,-19709.7890625,Rest
1553982954781,-20837.61328125,-15114.919921875,0,0,0,0,-58433.4921875,-19712.5390625,Rest
