Time,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Direction
1559255907780,-25227.005859375,-57217.8046875,0,0,0,0,-37427.3671875,9795.115234375,Left
1559255907783,-25089.18359375,-55440.68359375,0,0,0,0,-34925.3828125,11381.0830078125,Left
1559255907783,-25217.998046875,-52682.30078125,0,0,0,0,-31153.32421875,11117.3994140625,Left
1559255907784,-25295.78125,-53243.953125,0,0,0,0,-31999.962890625,10106.7431640625,Left
1559255907784,-25255.66015625,-56867.6640625,0,0,0,0,-36953.95703125,9620.458984375,Left
1559255907784,-25088.357421875,-56105.3359375,0,0,0,0,-35847.1015625,11176.85546875,Left
1559255907785,-25186.99609375,-52934.828125,0,0,0,0,-31494.322265625,11290.9384765625,Left
1559255907785,-25296.83203125,-52881.9453125,0,0,0,0,-31503.330078125,10289.6923828125,Left
1559255907785,-25290.349609375,-56222.81640625,0,0,0,0,-36108.7734375,9571.7314453125,Left
1559255907785,-25105.90234375,-56664.328125,0,0,0,0,-36648.27734375,10886.953125,Left
1559255907848,-25337.01953125,-54104.609375,0,0,0,0,-33245.40234375,9827.8828125,Left
1559255907849,-25221.73046875,-57220.0390625,0,0,0,0,-37495.07421875,9966.8212890625,Left
1559255907849,-25110.6640625,-54964.48046875,0,0,0,0,-34318.48828125,11433.498046875,Left
1559255907849,-25248.037109375,-52624.33984375,0,0,0,0,-31134.66015625,10964.55859375,Left
1559255907850,-25322,-53555.8046875,0,0,0,0,-32486.626953125,9993.419921875,Left
1559255907850,-25259.125,-56958.8828125,0,0,0,0,-37148.26171875,9760.2021484375,Left
1559255907850,-25112.85546875,-55623.03125,0,0,0,0,-35242.73046875,11271.693359375,Left
1559255907851,-25218.802734375,-52858.2734375,0,0,0,0,-31449.060546875,11131.302734375,Left
1559255907851,-25314.623046875,-53077.48046875,0,0,0,0,-31846.7421875,10189.19921875,Left
1559255907851,-25280.671875,-56419.30859375,0,0,0,0,-36433.765625,9650.5888671875,Left
1559255907918,-25119.537109375,-56169.08203125,0,0,0,0,-36015.56640625,11042.0068359375,Left
1559255907918,-25205.97265625,-53143.26171875,0,0,0,0,-31836.572265625,11265.6806640625,Left
1559255907918,-25317.75390625,-52854.7890625,0,0,0,0,-31513.56640625,10327.9365234375,Left
1559255907918,-25323.05078125,-55854.68359375,0,0,0,0,-35661.78125,9616.48046875,Left
1559255907919,-25133.015625,-56664.10546875,0,0,0,0,-36708.9609375,10767.8408203125,Left
1559255907920,-25182.30078125,-53496.52734375,0,0,0,0,-32329.71875,11396.505859375,Left
1559255907920,-25301.861328125,-52631.875,0,0,0,0,-31223.10546875,10500.603515625,Left
1559255907920,-25325.353515625,-55199.59765625,0,0,0,0,-34794.64453125,9645.1796875,Left
1559255907921,-25154.02734375,-56992.83203125,0,0,0,0,-37204.65625,10484.7109375,Left
1559255907922,-25153.4453125,-53897.80859375,0,0,0,0,-32899.6640625,11479.5205078125,Left
1559255907952,-25291.7578125,-52525.34765625,0,0,0,0,-31076.92578125,10660.1943359375,Left
1559255907952,-25335.232421875,-54564.2265625,0,0,0,0,-33926.68359375,9725.0205078125,Left
1559255907953,-25192.3828125,-57197.53125,0,0,0,0,-37499.921875,10178.08984375,Left
1559255907953,-25131.98828125,-54495.2734375,0,0,0,0,-33718.96875,11473.8427734375,Left
1559255907956,-25266.857421875,-52585.65234375,0,0,0,0,-31139.599609375,10827.609375,Left
1559255907956,-25339.232421875,-53941.84375,0,0,0,0,-33080.7578125,9883.2705078125,Left
1559255907957,-25291.7578125,-52525.34765625,0,0,0,0,-31076.92578125,10660.1943359375,Left
1559255907957,-25335.232421875,-54564.2265625,0,0,0,0,-33926.68359375,9725.0205078125,Left
1559255907957,-25250.072265625,-57118.6953125,0,0,0,0,-37419.58984375,9919.279296875,Left
1559255907958,-25192.3828125,-57197.53125,0,0,0,0,-37499.921875,10178.08984375,Left
1559255907958,-25131.98828125,-54495.2734375,0,0,0,0,-33718.96875,11473.8427734375,Left
1559255907958,-25135.005859375,-55090.87890625,0,0,0,0,-34562.078125,11393.48828125,Left
1559255907958,-25266.857421875,-52585.65234375,0,0,0,0,-31139.599609375,10827.609375,Left
1559255907959,-25339.232421875,-53941.84375,0,0,0,0,-33080.7578125,9883.2705078125,Left
1559255907959,-25250.072265625,-57118.6953125,0,0,0,0,-37419.58984375,9919.279296875,Left
1559255907959,-25248.552734375,-52666.85546875,0,0,0,0,-31255.716796875,10997.52734375,Left
1559255907959,-25324.5703125,-53410.765625,0,0,0,0,-32359.759765625,10039.1962890625,Left
1559255907960,-25135.005859375,-55090.87890625,0,0,0,0,-34562.078125,11393.48828125,Left
1559255907960,-25248.552734375,-52666.85546875,0,0,0,0,-31255.716796875,10997.52734375,Left
1559255907961,-25324.5703125,-53410.765625,0,0,0,0,-32359.759765625,10039.1962890625,Left
1559255907989,-25269.025390625,-56864.53515625,0,0,0,0,-37085.1640625,9709.5078125,Left
1559255907990,-25105.166015625,-55747.05859375,0,0,0,0,-35477.8515625,11231.125,Left
1559255907990,-25211.58203125,-52875.8203125,0,0,0,0,-31530.173828125,11166.4169921875,Left
1559255907990,-25313.328125,-53039.703125,0,0,0,0,-31833.443359375,10203.861328125,Left
1559255907990,-25300.744140625,-56386.83203125,0,0,0,0,-36433.83203125,9609.751953125,Left
1559255907990,-25132.166015625,-56361.57421875,0,0,0,0,-36319.81640625,10984.1611328125,Left
1559255907991,-25202.484375,-53225.26953125,0,0,0,0,-31994.77734375,11310.2060546875,Left
1559255907991,-25312.74609375,-52792.984375,0,0,0,0,-31480.330078125,10369.353515625,Left
1559255907991,-25322.939453125,-55691.06640625,0,0,0,0,-35473.8046875,9616.703125,Left
1559255907991,-25151.43359375,-56749.35546875,0,0,0,0,-36866.453125,10692.0908203125,Left
1559255908021,-25173.6953125,-53669.2421875,0,0,0,0,-32607.193359375,11392.9072265625,Left
1559255908022,-25296.49609375,-52718.53125,0,0,0,0,-31362.111328125,10523.2236328125,Left
1559255908022,-25328.482421875,-54983.45703125,0,0,0,0,-34517.5078125,9711.7880859375,Left
1559255908023,-25173.896484375,-56887.625,0,0,0,0,-37100.71875,10424.25,Left
1559255908023,-25151.65625,-54159.953125,0,0,0,0,-33294.80078125,11412.755859375,Left
1559255908024,-25278.302734375,-52780.37890625,0,0,0,0,-31434.955078125,10664.330078125,Left
1559255908024,-25331.587890625,-54351.19140625,0,0,0,0,-33655.37890625,9848.267578125,Left
1559255908025,-25205.4140625,-56847.66015625,0,0,0,0,-37058.5,10168.43359375,Left
1559255908025,-25124.58984375,-54670.82421875,0,0,0,0,-33993.6953125,11376.568359375,Left
1559255908025,-25251.234375,-52821.125,0,0,0,0,-31488.779296875,10826.8720703125,Left
